Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_30_days_after_2nd_dose,positive_31_90_days_after_2nd_dose,positive_above_90_days_after_2nd_dose,positive_1_6_days_after_3rd_dose,positive_7_13_days_after_3rd_dose,positive_14_20_days_after_3rd_dose,positive_above_20_days_after_3rd_dose,Sum_positive_without_vaccination
2020-12-20 - 2020-12-26,0-19,,,,,,,,,,,,,,8111
2020-12-20 - 2020-12-26,20-29,15,,,,,,,,,,,,,4752
2020-12-20 - 2020-12-26,30-39,24,,,,,,,,,,,,,3764
2020-12-20 - 2020-12-26,40-49,21,,,,,,,,,,,,,3466
2020-12-20 - 2020-12-26,50-59,20,,,,,,,,,,,,,2516
2020-12-20 - 2020-12-26,60-69,25,,,,,,,,,,,,,1785
2020-12-20 - 2020-12-26,70-79,9,,,,,,,,,,,,,893
2020-12-20 - 2020-12-26,80-89,<5,,,,,,,,,,,,,396
2020-12-20 - 2020-12-26,90+,,,,,,,,,,,,,,140
2020-12-27 - 2021-01-02,0-19,46,<5,,,,,,,,,,,,12758
2020-12-27 - 2021-01-02,20-29,150,43,,,,,,,,,,,,6250
2020-12-27 - 2021-01-02,30-39,123,79,,,,,,,,,,,,5030
2020-12-27 - 2021-01-02,40-49,157,63,,,,,,,,,,,,4146
2020-12-27 - 2021-01-02,50-59,177,81,,,,,,,,,,,,3154
2020-12-27 - 2021-01-02,60-69,292,140,,,,,,,,,,,,1872
2020-12-27 - 2021-01-02,70-79,155,54,,,,,,,,,,,,936
2020-12-27 - 2021-01-02,80-89,77,20,,,,,,,,,,,,422
2020-12-27 - 2021-01-02,90+,23,5,,,,,,,,,,,,160
2021-01-03 - 2021-01-09,0-19,99,82,5,,,,,,,,,,,18269
2021-01-03 - 2021-01-09,20-29,283,245,21,,,,,,,,,,,8394
2021-01-03 - 2021-01-09,30-39,298,320,40,,,,,,,,,,,6361
2021-01-03 - 2021-01-09,40-49,391,447,64,,,,,,,,,,,5248
2021-01-03 - 2021-01-09,50-59,476,499,62,,,,,,,,,,,3295
2021-01-03 - 2021-01-09,60-69,478,812,132,,,,,,,,,,,1576
2021-01-03 - 2021-01-09,70-79,230,438,58,,,,,,,,,,,696
2021-01-03 - 2021-01-09,80-89,212,231,12,,,,,,,,,,,375
2021-01-03 - 2021-01-09,90+,75,114,<5,,,,,,,,,,,111
2021-01-10 - 2021-01-16,0-19,46,164,50,,,,,,,,,,,22238
2021-01-10 - 2021-01-16,20-29,142,431,108,5,<5,,,,,,,,,9029
2021-01-10 - 2021-01-16,30-39,173,483,197,12,5,,,,,,,,,7054
2021-01-10 - 2021-01-16,40-49,287,749,286,22,10,,,,,,,,,5363
