date,areaType,areaCode,areaName,metric,age,rate,value
"2021-03-13",nation,E92000001,England,maleCases,"20_to_24",9362.2,148645
"2021-03-13",nation,E92000001,England,maleCases,"40_to_44",7192.7,133001
"2021-03-13",nation,E92000001,England,maleCases,"90+",12164.2,20221
"2021-03-13",nation,E92000001,England,maleCases,"65_to_69",4285.6,57976
"2021-03-13",nation,E92000001,England,maleCases,"55_to_59",6365.2,122652
"2021-03-13",nation,E92000001,England,maleCases,"25_to_29",8756.1,156973
"2021-03-13",nation,E92000001,England,maleCases,"30_to_34",8119.3,156956
"2021-03-13",nation,E92000001,England,maleCases,"15_to_19",6337.3,108967
"2021-03-13",nation,E92000001,England,maleCases,"70_to_74",3587,47713
"2021-03-13",nation,E92000001,England,maleCases,"0_to_4",2416.5,40916
"2021-03-13",nation,E92000001,England,maleCases,"80_to_84",5478.7,34815
"2021-03-13",nation,E92000001,England,maleCases,"10_to_14",3809.6,69047
"2021-03-13",nation,E92000001,England,maleCases,"35_to_39",7619.7,144817
"2021-03-13",nation,E92000001,England,maleCases,"45_to_49",7773.5,132164
"2021-03-13",nation,E92000001,England,maleCases,"5_to_9",2494.2,45135
"2021-03-13",nation,E92000001,England,maleCases,"85_to_89",8149.1,28591
"2021-03-13",nation,E92000001,England,maleCases,"75_to_79",4262.2,38390
"2021-03-13",nation,E92000001,England,maleCases,"50_to_54",7414.3,136371
"2021-03-13",nation,E92000001,England,maleCases,"60_to_64",6002.6,91674
"2021-03-13",nation,E92000001,England,femaleCases,"30_to_34",9907.9,185108
"2021-03-13",nation,E92000001,England,femaleCases,"20_to_24",12227,183712
"2021-03-13",nation,E92000001,England,femaleCases,"70_to_74",3102,44954
"2021-03-13",nation,E92000001,England,femaleCases,"50_to_54",8498.4,159474
"2021-03-13",nation,E92000001,England,femaleCases,"80_to_84",5101.8,41042
"2021-03-13",nation,E92000001,England,femaleCases,"0_to_4",2428.6,39014
"2021-03-13",nation,E92000001,England,femaleCases,"10_to_14",4000.2,69033
"2021-03-13",nation,E92000001,England,femaleCases,"55_to_59",6979.5,138232
"2021-03-13",nation,E92000001,England,femaleCases,"25_to_29",11182.6,189561
"2021-03-13",nation,E92000001,England,femaleCases,"40_to_44",8269.9,155848
"2021-03-13",nation,E92000001,England,femaleCases,"75_to_79",3737.9,38873
"2021-03-13",nation,E92000001,England,femaleCases,"35_to_39",8917.8,170099
"2021-03-13",nation,E92000001,England,femaleCases,"5_to_9",2287.2,42565
"2021-03-13",nation,E92000001,England,femaleCases,"45_to_49",8998.4,154242
"2021-03-13",nation,E92000001,England,femaleCases,"15_to_19",8013.9,131011
"2021-03-13",nation,E92000001,England,femaleCases,"60_to_64",5978.5,94735
"2021-03-13",nation,E92000001,England,femaleCases,"85_to_89",7986.7,42244
"2021-03-13",nation,E92000001,England,femaleCases,"90+",13458.9,47246
"2021-03-13",nation,E92000001,England,femaleCases,"65_to_69",3769,54422
"2021-03-12",nation,E92000001,England,maleCases,"15_to_19",6336,108945
"2021-03-12",nation,E92000001,England,maleCases,"85_to_89",8149.1,28591
"2021-03-12",nation,E92000001,England,maleCases,"65_to_69",4285.1,57969
"2021-03-12",nation,E92000001,England,maleCases,"5_to_9",2492.7,45109
"2021-03-12",nation,E92000001,England,maleCases,"0_to_4",2415.6,40902
"2021-03-12",nation,E92000001,England,maleCases,"45_to_49",7772,132139
"2021-03-12",nation,E92000001,England,maleCases,"35_to_39",7617.2,144769
"2021-03-12",nation,E92000001,England,maleCases,"30_to_34",8117.4,156919
"2021-03-12",nation,E92000001,England,maleCases,"50_to_54",7412.8,136344
"2021-03-12",nation,E92000001,England,maleCases,"90+",12162.4,20218
"2021-03-12",nation,E92000001,England,maleCases,"40_to_44",7191.1,132971
"2021-03-12",nation,E92000001,England,maleCases,"55_to_59",6363.9,122628
"2021-03-12",nation,E92000001,England,maleCases,"80_to_84",5478.1,34811
"2021-03-12",nation,E92000001,England,maleCases,"60_to_64",6001.4,91656
"2021-03-12",nation,E92000001,England,maleCases,"75_to_79",4261.9,38387
"2021-03-12",nation,E92000001,England,maleCases,"10_to_14",3808.6,69029
"2021-03-12",nation,E92000001,England,maleCases,"20_to_24",9360.5,148619
"2021-03-12",nation,E92000001,England,maleCases,"70_to_74",3586.7,47709
"2021-03-12",nation,E92000001,England,maleCases,"25_to_29",8754.1,156937
"2021-03-12",nation,E92000001,England,femaleCases,"90+",13456.9,47239
"2021-03-12",nation,E92000001,England,femaleCases,"85_to_89",7985.2,42236
"2021-03-12",nation,E92000001,England,femaleCases,"5_to_9",2286.1,42545
"2021-03-12",nation,E92000001,England,femaleCases,"55_to_59",6978.2,138206
"2021-03-12",nation,E92000001,England,femaleCases,"50_to_54",8496.7,159443
"2021-03-12",nation,E92000001,England,femaleCases,"75_to_79",3737.4,38868
"2021-03-12",nation,E92000001,England,femaleCases,"65_to_69",3768.3,54412
"2021-03-12",nation,E92000001,England,femaleCases,"40_to_44",8267.8,155810
"2021-03-12",nation,E92000001,England,femaleCases,"10_to_14",3999,69012
"2021-03-12",nation,E92000001,England,femaleCases,"60_to_64",5977.4,94718
"2021-03-12",nation,E92000001,England,femaleCases,"15_to_19",8012.2,130982
"2021-03-12",nation,E92000001,England,femaleCases,"35_to_39",8916.2,170068
"2021-03-12",nation,E92000001,England,femaleCases,"45_to_49",8996.2,154204
"2021-03-12",nation,E92000001,England,femaleCases,"30_to_34",9905.1,185055
"2021-03-12",nation,E92000001,England,femaleCases,"80_to_84",5100.8,41034
"2021-03-12",nation,E92000001,England,femaleCases,"0_to_4",2428,39004
"2021-03-12",nation,E92000001,England,femaleCases,"25_to_29",11180.8,189530
"2021-03-12",nation,E92000001,England,femaleCases,"70_to_74",3101.6,44948
"2021-03-12",nation,E92000001,England,femaleCases,"20_to_24",12224.8,183679
"2021-03-11",nation,E92000001,England,maleCases,"90+",12157.6,20210
"2021-03-11",nation,E92000001,England,maleCases,"55_to_59",6358.5,122523
"2021-03-11",nation,E92000001,England,maleCases,"0_to_4",2412.1,40842
"2021-03-11",nation,E92000001,England,maleCases,"30_to_34",8109,156757
"2021-03-11",nation,E92000001,England,maleCases,"35_to_39",7608,144594
"2021-03-11",nation,E92000001,England,maleCases,"15_to_19",6325.8,108769
"2021-03-11",nation,E92000001,England,maleCases,"40_to_44",7183.7,132834
"2021-03-11",nation,E92000001,England,maleCases,"60_to_64",5996.2,91576
"2021-03-11",nation,E92000001,England,maleCases,"65_to_69",4282.3,57931
"2021-03-11",nation,E92000001,England,maleCases,"85_to_89",8145.4,28578
"2021-03-11",nation,E92000001,England,maleCases,"10_to_14",3798.1,68840
"2021-03-11",nation,E92000001,England,maleCases,"45_to_49",7764.3,132009
"2021-03-11",nation,E92000001,England,maleCases,"80_to_84",5475.1,34792
"2021-03-11",nation,E92000001,England,maleCases,"5_to_9",2487.9,45021
"2021-03-11",nation,E92000001,England,maleCases,"70_to_74",3584.3,47677
"2021-03-11",nation,E92000001,England,maleCases,"20_to_24",9350.5,148460
"2021-03-11",nation,E92000001,England,maleCases,"75_to_79",4260.1,38371
