date,areaType,areaCode,areaName,newCasesByPublishDate
"2021-03-13",overview,K02000001,United Kingdom,5534
"2021-03-12",overview,K02000001,United Kingdom,6609
"2021-03-11",overview,K02000001,United Kingdom,6753
"2021-03-10",overview,K02000001,United Kingdom,5926
"2021-03-09",overview,K02000001,United Kingdom,5766
"2021-03-08",overview,K02000001,United Kingdom,4712
"2021-03-07",overview,K02000001,United Kingdom,5177
"2021-03-06",overview,K02000001,United Kingdom,6040
"2021-03-05",overview,K02000001,United Kingdom,5947
"2021-03-04",overview,K02000001,United Kingdom,6573
"2021-03-03",overview,K02000001,United Kingdom,6385
"2021-03-02",overview,K02000001,United Kingdom,6391
"2021-03-01",overview,K02000001,United Kingdom,5455
"2021-02-28",overview,K02000001,United Kingdom,6035
"2021-02-27",overview,K02000001,United Kingdom,7434
"2021-02-26",overview,K02000001,United Kingdom,8523
"2021-02-25",overview,K02000001,United Kingdom,9985
"2021-02-24",overview,K02000001,United Kingdom,9938
"2021-02-23",overview,K02000001,United Kingdom,8489
"2021-02-22",overview,K02000001,United Kingdom,10641
"2021-02-21",overview,K02000001,United Kingdom,9834
"2021-02-20",overview,K02000001,United Kingdom,10406
"2021-02-19",overview,K02000001,United Kingdom,12027
"2021-02-18",overview,K02000001,United Kingdom,12057
"2021-02-17",overview,K02000001,United Kingdom,12718
"2021-02-16",overview,K02000001,United Kingdom,10625
"2021-02-15",overview,K02000001,United Kingdom,9765
"2021-02-14",overview,K02000001,United Kingdom,10972
"2021-02-13",overview,K02000001,United Kingdom,13308
"2021-02-12",overview,K02000001,United Kingdom,15144
"2021-02-11",overview,K02000001,United Kingdom,13494
"2021-02-10",overview,K02000001,United Kingdom,13013
"2021-02-09",overview,K02000001,United Kingdom,12364
"2021-02-08",overview,K02000001,United Kingdom,14104
"2021-02-07",overview,K02000001,United Kingdom,15845
"2021-02-06",overview,K02000001,United Kingdom,18262
"2021-02-05",overview,K02000001,United Kingdom,19114
"2021-02-04",overview,K02000001,United Kingdom,20634
"2021-02-03",overview,K02000001,United Kingdom,19202
"2021-02-02",overview,K02000001,United Kingdom,16840
"2021-02-01",overview,K02000001,United Kingdom,18607
"2021-01-31",overview,K02000001,United Kingdom,21088
"2021-01-30",overview,K02000001,United Kingdom,23275
"2021-01-29",overview,K02000001,United Kingdom,29079
"2021-01-28",overview,K02000001,United Kingdom,28680
"2021-01-27",overview,K02000001,United Kingdom,25308
"2021-01-26",overview,K02000001,United Kingdom,20089
"2021-01-25",overview,K02000001,United Kingdom,22195
"2021-01-24",overview,K02000001,United Kingdom,30004
"2021-01-23",overview,K02000001,United Kingdom,33552
"2021-01-22",overview,K02000001,United Kingdom,40261
"2021-01-21",overview,K02000001,United Kingdom,37892
"2021-01-20",overview,K02000001,United Kingdom,38905
"2021-01-19",overview,K02000001,United Kingdom,33355
"2021-01-18",overview,K02000001,United Kingdom,37535
"2021-01-17",overview,K02000001,United Kingdom,38598
"2021-01-16",overview,K02000001,United Kingdom,41346
"2021-01-15",overview,K02000001,United Kingdom,55761
"2021-01-14",overview,K02000001,United Kingdom,48682
"2021-01-13",overview,K02000001,United Kingdom,47525
"2021-01-12",overview,K02000001,United Kingdom,45533
"2021-01-11",overview,K02000001,United Kingdom,46169
"2021-01-10",overview,K02000001,United Kingdom,54940
"2021-01-09",overview,K02000001,United Kingdom,59937
"2021-01-08",overview,K02000001,United Kingdom,68053
"2021-01-07",overview,K02000001,United Kingdom,52618
"2021-01-06",overview,K02000001,United Kingdom,62322
"2021-01-05",overview,K02000001,United Kingdom,60916
"2021-01-04",overview,K02000001,United Kingdom,58784
"2021-01-03",overview,K02000001,United Kingdom,54990
"2021-01-02",overview,K02000001,United Kingdom,57725
"2021-01-01",overview,K02000001,United Kingdom,53285
"2020-12-31",overview,K02000001,United Kingdom,55892
