date,areaType,areaCode,areaName,newCasesLFDConfirmedPCRBySpecimenDate,newCasesLFDOnlyBySpecimenDate,newLFDTests,newCasesBySpecimenDate
"2021-03-12",nation,E92000001,England,0,910,1118931,1526
"2021-03-11",nation,E92000001,England,43,951,1370398,4250
"2021-03-10",nation,E92000001,England,218,860,1284071,5012
"2021-03-09",nation,E92000001,England,333,718,1188548,5302
"2021-03-08",nation,E92000001,England,429,827,1499248,5756
"2021-03-07",nation,E92000001,England,278,381,660538,3579
"2021-03-06",nation,E92000001,England,189,243,183409,3719
"2021-03-05",nation,E92000001,England,202,463,703924,4651
"2021-03-04",nation,E92000001,England,359,371,749900,4851
"2021-03-03",nation,E92000001,England,257,436,567836,5142
"2021-03-02",nation,E92000001,England,230,406,402944,5702
"2021-03-01",nation,E92000001,England,261,471,584041,5948
"2021-02-28",nation,E92000001,England,194,249,357333,3982
"2021-02-27",nation,E92000001,England,100,190,112708,4119
"2021-02-26",nation,E92000001,England,159,350,315901,5697
"2021-02-25",nation,E92000001,England,214,435,427973,6655
"2021-02-24",nation,E92000001,England,246,442,428530,7318
"2021-02-23",nation,E92000001,England,240,420,315075,8200
"2021-02-22",nation,E92000001,England,352,650,521097,9941
"2021-02-21",nation,E92000001,England,305,333,371056,6835
"2021-02-20",nation,E92000001,England,143,314,116798,6912
"2021-02-19",nation,E92000001,England,234,428,225161,8930
"2021-02-18",nation,E92000001,England,271,456,243934,9927
"2021-02-17",nation,E92000001,England,342,440,240189,10055
"2021-02-16",nation,E92000001,England,296,500,209840,10847
"2021-02-15",nation,E92000001,England,395,554,287496,12518
"2021-02-14",nation,E92000001,England,299,288,208408,7564
"2021-02-13",nation,E92000001,England,166,282,110578,7761
"2021-02-12",nation,E92000001,England,289,427,293766,10600
"2021-02-11",nation,E92000001,England,341,490,400500,11261
"2021-02-10",nation,E92000001,England,462,543,424973,11896
"2021-02-09",nation,E92000001,England,389,518,291808,12298
"2021-02-08",nation,E92000001,England,534,674,464915,13932
"2021-02-07",nation,E92000001,England,518,402,363779,10197
"2021-02-06",nation,E92000001,England,253,351,121361,10609
"2021-02-05",nation,E92000001,England,397,572,310478,14037
"2021-02-04",nation,E92000001,England,472,691,418255,16231
"2021-02-03",nation,E92000001,England,612,744,454409,17477
"2021-02-02",nation,E92000001,England,549,669,307534,17731
"2021-02-01",nation,E92000001,England,780,817,478732,20187
"2021-01-31",nation,E92000001,England,586,527,357190,13776
"2021-01-30",nation,E92000001,England,333,448,114284,15017
"2021-01-29",nation,E92000001,England,476,654,288214,19738
"2021-01-28",nation,E92000001,England,600,799,366359,21913
"2021-01-27",nation,E92000001,England,672,712,379460,23319
"2021-01-26",nation,E92000001,England,920,455,284368,24508
"2021-01-25",nation,E92000001,England,1214,539,367630,27195
"2021-01-24",nation,E92000001,England,680,276,167569,15508
"2021-01-23",nation,E92000001,England,644,340,101850,19925
"2021-01-22",nation,E92000001,England,930,441,237048,26980
"2021-01-21",nation,E92000001,England,984,465,240292,28814
"2021-01-20",nation,E92000001,England,1115,495,220804,31826
"2021-01-19",nation,E92000001,England,1318,533,234924,36042
"2021-01-18",nation,E92000001,England,1632,579,311804,40803
