Date,Total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-12-13,7999,1821,77,1118,2006,91,94,114,39,2639
2020-12-14,5163,982,28,756,1552,45,44,26,27,1703
2020-12-15,7552,1956,67,1278,1152,58,67,152,36,2786
2020-12-16,10008,1619,88,1787,2743,155,145,182,55,3234
2020-12-17,9126,1658,93,1729,2363,125,177,124,84,2773
2020-12-18,8725,1130,72,1480,2440,85,99,118,66,3235
2020-12-19,10939,1336,166,2259,2913,256,196,227,105,3481
2020-12-20,9445,1275,125,1946,2897,193,203,146,59,2601
2020-12-21,8789,1283,79,1607,2829,134,107,123,86,2541
2020-12-22,9501,1419,269,1760,2419,165,158,289,50,2972
2020-12-23,14046,1266,292,3204,4197,384,292,401,96,3914
2020-12-24,14305,1354,297,3130,4578,396,299,387,158,3706
2020-12-25,14796,1216,187,3593,4676,679,379,363,127,3576
2020-12-26,11552,966,104,2615,4119,414,260,163,110,2801
2020-12-27,9502,861,86,1768,3403,313,197,136,79,2659
2020-12-28,7458,390,103,1861,2293,191,242,133,50,2195
2020-12-29,9580,851,100,2383,2836,460,349,284,54,2263
2020-12-30,17710,1273,313,4126,5847,750,648,574,190,3989
2020-12-31,18000,1324,383,4376,5354,970,548,654,150,4241
2021-01-01,16726,1234,353,4374,4976,899,753,608,262,3267
2021-01-02,15002,996,324,4058,4732,730,679,330,174,2979
2021-01-03,11859,675,187,2618,3782,784,402,336,163,2912
2021-01-04,12601,584,206,3144,3959,844,504,276,106,2978
2021-01-05,14410,677,241,3208,6055,932,483,509,76,2229
2021-01-06,21832,1088,428,5781,6796,1575,1223,915,258,3768
2021-01-07,20999,1373,516,5537,5894,1653,1176,1096,348,3406
2021-01-08,21980,1211,591,6969,5563,1547,1437,820,358,3484
2021-01-09,21606,1188,617,6218,5907,1773,1454,804,324,3321
2021-01-10,17421,976,627,4917,4468,1384,1076,572,265,3136
2021-01-11,15046,843,577,4229,3704,1681,936,570,325,2181
2021-01-12,13105,975,244,3389,3281,1576,719,560,117,2244
2021-01-13,18555,1087,561,5022,5432,1393,898,957,292,2913
2021-01-14,18503,1017,616,4494,5100,1890,1496,821,301,2768
2021-01-15,14880,766,621,3916,3820,1232,1045,892,282,2306
2021-01-16,13973,766,661,3570,3342,1392,1117,630,381,2114
2021-01-17,12267,628,471,3419,3180,846,1304,499,212,1708
2021-01-18,9010,400,380,2388,3202,951,434,167,199,889
2021-01-19,9780,381,346,2163,3866,854,835,224,137,974
2021-01-20,12710,707,497,3832,3314,811,1385,545,225,1394
2021-01-21,11381,632,496,2832,2657,1463,812,775,267,1447
2021-01-22,11761,668,481,2665,2936,1561,1184,637,182,1447
2021-01-23,12271,525,613,2895,3791,1095,1232,638,220,1262
2021-01-24,8147,318,468,1725,2842,420,1064,358,172,780
2021-01-25,4551,124,326,1193,1573,297,522,157,124,235
2021-01-26,6041,307,295,1333,2079,725,509,357,70,366
2021-01-27,7070,227,452,1533,1942,675,661,353,233,994
2021-01-28,7150,267,441,1266,1900,632,1083,543,212,806
2021-01-29,6141,285,351,1064,1801,581,762,467,152,678
2021-01-30,5297,244,341,903,1804,405,603,239,100,658
2021-01-31,4525,141,281,947,1352,304,559,314,159,468
2021-02-01,2548,121,189,610,729,195,363,108,47,186
2021-02-02,2649,64,145,611,1018,164,232,146,15,254
2021-02-03,4058,148,214,1049,1044,233,399,240,112,619
2021-02-04,3751,137,170,908,973,385,302,263,118,495
2021-02-05,3749,112,246,996,919,304,388,198,124,462
2021-02-06,3184,133,210,761,863,152,410,188,103,364
2021-02-07,2435,82,158,685,464,248,176,133,99,390
2021-02-08,1376,52,88,389,324,112,191,67,30,123
2021-02-09,1742,48,98,496,519,111,145,113,26,186
2021-02-10,3159,147,234,713,689,226,307,281,89,473
2021-02-11,2488,105,216,722,583,159,158,113,89,343
2021-02-12,2781,77,162,699,681,238,297,152,90,385
2021-02-13,2382,55,156,746,541,124,213,172,97,278
2021-02-14,1744,56,93,501,374,109,133,100,56,322
2021-02-15,1102,23,65,290,190,51,277,62,35,109
2021-02-16,1210,56,33,372,335,37,112,128,22,115
2021-02-17,2320,74,120,754,344,201,244,172,49,362
2021-02-18,2327,62,173,714,408,140,212,158,126,334
2021-02-19,1911,48,112,583,331,90,214,146,97,290
2021-02-20,1690,40,152,413,341,110,184,120,70,260
2021-02-21,1429,45,87,363,298,93,116,83,81,263
2021-02-22,792,24,49,254,185,51,80,38,31,80
2021-02-23,998,19,56,289,260,85,95,64,20,110
2021-02-24,1862,48,136,536,314,98,209,142,69,310
2021-02-25,1676,42,146,454,362,84,151,90,87,260
2021-02-26,1654,28,119,457,374,61,161,121,100,233
2021-02-27,1447,37,90,350,374,68,143,100,54,231
2021-02-28,1168,15,69,304,293,43,117,73,56,198
2021-03-01,566,14,48,146,80,19,64,73,37,85
2021-03-02,856,42,61,250,178,25,118,72,18,92
2021-03-03,1447,31,91,428,245,90,140,114,61,247
2021-03-04,1404,40,124,397,243,105,120,80,85,210
2021-03-05,1313,31,106,338,317,65,116,76,57,207
2021-03-06,1227,43,77,318,186,56,192,102,52,201
2021-03-07,862,19,90,213,153,22,80,61,51,173
2021-03-08,638,14,18,221,113,7,108,53,16,88
2021-03-09,991,18,107,339,185,33,105,89,28,87
2021-03-10,1477,27,137,558,163,57,147,124,76,188
2021-03-11,1474,23,146,408,197,53,211,113,82,241
2021-03-12,1225,17,111,309,171,104,198,80,69,166
2021-03-13,1541,100,146,357,293,61,136,117,84,247
2021-03-14,1006,19,87,252,167,35,60,79,176,131
2021-03-15,613,9,57,231,123,8,60,41,37,47
2021-03-16,933,103,69,243,117,41,149,47,34,130
2021-03-17,1531,110,137,413,162,42,160,150,133,224
2021-03-18,1464,104,144,332,189,45,169,124,115,242
2021-03-19,1462,102,154,395,187,28,141,143,112,200
2021-03-20,1378,106,116,346,180,29,138,114,129,220
2021-03-21,1051,19,74,295,133,14,140,79,168,129
2021-03-22,599,8,76,173,76,19,68,67,28,84
2021-03-23,510,9,67,176,101,10,26,47,20,54
2021-03-24,1048,103,96,329,85,27,108,116,14,170
2021-03-25,1554,108,177,433,150,51,135,110,99,291
2021-03-26,1516,104,170,390,117,57,184,129,160,205
2021-03-27,1387,111,134,336,156,28,144,100,92,286
2021-03-28,965,20,121,226,118,28,159,96,70,127
2021-03-29,548,13,72,150,47,12,120,41,29,64
2021-03-30,756,29,77,230,92,12,82,104,38,92
2021-03-31,1422,34,172,390,140,45,161,162,84,234
2021-04-01,1294,38,56,362,211,36,161,125,92,213
2021-04-02,1273,22,128,415,133,21,125,137,130,162
2021-04-03,777,8,108,228,74,18,102,34,88,117
2021-04-04,463,1,54,154,67,5,87,28,21,46
2021-04-05,452,-1,66,120,35,11,80,28,29,84
2021-04-06,437,22,50,142,53,4,36,44,25,61
2021-04-07,756,28,104,220,87,23,79,91,22,102
2021-04-08,1366,32,166,451,107,33,142,110,95,230
2021-04-09,1267,35,165,351,131,24,99,190,111,161
2021-04-10,1285,33,197,366,95,52,159,138,96,149
2021-04-11,931,25,146,281,99,22,79,78,88,113
2021-04-12,655,22,87,175,58,12,120,51,77,53
2021-04-13,847,17,151,273,68,18,82,109,46,83
2021-04-14,1599,31,256,386,129,31,186,222,156,202
2021-04-15,1372,24,217,355,114,26,134,197,168,137
2021-04-16,1424,33,218,422,91,27,99,179,153,202
2021-04-17,1325,37,231,343,107,23,135,157,126,166
2021-04-18,1089,18,161,286,57,21,123,127,160,136
2021-04-19,744,12,182,232,36,9,48,45,119,61
2021-04-20,853,16,132,245,71,11,68,105,125,80
2021-04-21,1569,26,236,414,100,66,130,188,259,150
2021-04-22,1413,28,222,426,70,29,98,217,175,148
2021-04-23,1637,20,361,353,122,36,150,145,268,182
2021-04-24,1385,15,309,337,86,20,101,186,197,134
2021-04-25,1101,12,238,282,69,25,61,134,173,107
2021-04-26,849,2,256,267,25,16,30,69,138,46
2021-04-27,880,19,182,219,59,18,95,128,58,102
2021-04-28,1250,31,260,354,61,27,88,118,156,155
2021-04-29,1086,19,241,279,71,13,92,140,136,95
2021-04-30,1674,20,333,546,71,29,119,174,194,188
2021-05-01,1632,23,350,465,83,37,108,179,245,142
2021-05-02,1222,16,265,316,65,26,92,128,163,151
2021-05-03,897,13,172,313,54,8,36,91,143,67
2021-05-04,1187,21,266,441,69,17,63,124,106,80
2021-05-05,2073,31,427,612,82,40,140,217,293,231
2021-05-06,2149,22,446,688,93,48,143,225,279,205
2021-05-07,2256,32,415,753,100,32,121,216,363,224
2021-05-08,2191,19,376,649,124,56,125,284,301,257
2021-05-09,1778,38,294,537,79,43,96,181,349,161
2021-05-10,1129,22,209,398,64,19,59,124,148,86
2021-05-11,1548,25,305,576,102,18,103,184,108,127
2021-05-12,2759,55,521,1017,115,47,144,307,298,255
2021-05-13,3221,63,504,1288,114,46,159,261,454,332
2021-05-14,3141,47,446,1212,96,47,174,370,406,343
2021-05-15,2750,57,438,1009,99,43,115,336,438,215
2021-05-16,2585,38,347,778,106,35,142,304,620,215
2021-05-17,1757,18,339,724,61,13,84,142,292,84
2021-05-18,2355,63,382,1166,73,23,100,187,224,137
2021-05-19,3522,125,411,1385,149,85,196,366,467,338
2021-05-20,3641,64,491,1519,161,72,215,358,434,327
2021-05-21,3332,72,488,1458,112,67,199,339,348,249
2021-05-22,4236,102,523,1890,169,72,207,372,614,287
2021-05-23,2894,57,338,1107,99,70,206,349,419,249
2021-05-24,2383,30,315,1005,84,19,88,232,483,127
2021-05-25,3084,84,411,1406,122,55,136,338,274,258
2021-05-26,4623,126,615,2109,182,83,205,507,410,386
2021-05-27,4422,129,583,2011,135,78,220,463,430,373
2021-05-28,4574,126,618,2213,160,102,251,396,317,391
2021-05-29,4519,122,541,2225,138,119,220,470,300,384
2021-05-30,3755,49,398,1949,137,57,149,275,525,216
2021-05-31,2792,42,310,1308,77,37,82,159,575,202
2021-06-01,3614,99,472,1839,149,56,143,305,278,273
2021-06-02,5782,182,496,2992,182,151,329,594,355,501
2021-06-03,5360,157,434,2765,174,198,263,493,396,480
2021-06-04,5668,147,498,2986,236,157,312,562,290,480
2021-06-05,5450,213,447,2959,227,175,208,442,327,452
2021-06-06,5073,96,342,2871,167,148,170,434,423,422
2021-06-07,3285,44,300,2030,152,44,140,175,136,264
2021-06-08,4209,173,418,2491,159,83,74,321,130,360
2021-06-09,8881,253,620,5111,537,229,363,650,335,783
2021-06-10,9149,235,521,5597,421,188,313,580,362,932
2021-06-11,8021,225,468,4809,394,194,345,508,330,748
2021-06-12,9320,260,418,5902,372,253,339,515,274,987
2021-06-13,7657,155,379,4891,338,171,283,521,256,663
2021-06-14,5552,105,228,3720,247,118,162,278,248,446
2021-06-15,8436,370,464,5433,442,143,237,523,215,609
2021-06-16,13246,497,617,7859,592,390,546,917,426,1402
2021-06-17,11767,320,515,7502,454,255,429,737,313,1242
2021-06-18,10510,334,379,6969,553,278,315,567,285,830
2021-06-19,13575,443,520,8403,589,468,515,850,246,1541
2021-06-20,13155,382,360,8640,574,407,559,759,308,1166
2021-06-21,9160,193,248,6292,322,296,443,422,297,647
2021-06-22,11093,385,365,7471,551,263,294,720,197,847
2021-06-23,17493,637,491,10806,917,724,825,1018,297,1778
2021-06-24,16078,466,552,9521,696,867,630,1143,291,1912
2021-06-25,18762,591,523,11777,997,832,877,1073,334,1758
2021-06-26,17958,452,473,11303,864,895,698,1149,270,1854
2021-06-27,15036,326,375,9858,763,732,621,854,197,1310
2021-06-28,12222,314,331,8408,483,563,530,560,131,902
2021-06-29,13347,504,338,8925,947,385,475,669,112,992
2021-06-30,19506,582,626,11160,1265,1234,913,1428,239,2059
2021-07-01,21584,664,603,12806,1241,1109,930,1468,316,2447
2021-07-02,24270,652,555,14198,1676,1417,1187,1687,292,2606
2021-07-03,26485,739,550,16091,1473,1780,1130,1401,322,2999
2021-07-04,16585,458,378,9443,1166,1230,968,926,232,1784
2021-07-05,12513,399,295,7543,702,866,636,651,160,1261
