UTLA Code,UTLA Name,LTLA Code,LTLA Name,Under 16,16-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,16+
E10000007,Derbyshire,E07000032,Amber Valley,21607,19019,7927,7688,7597,8818,10214,10139,8677,7616,8226,5899,6919,108739
E10000024,Nottinghamshire,E07000170,Ashfield,24180,20356,9147,8492,7843,8338,9798,9502,7872,6746,6753,5333,6237,106417
E10000024,Nottinghamshire,E07000171,Bassetlaw,21459,19128,8112,7600,7180,7922,9393,9573,8103,6986,7352,5406,6565,103320
E10000018,Leicestershire,E07000129,Blaby,19482,15544,7089,7075,6664,6811,7619,7400,6527,5463,5802,4276,5714,85984
E10000007,Derbyshire,E07000033,Bolsover,14504,13161,5727,5307,4620,5410,6674,6277,5376,4496,4437,3493,3897,68875
E10000019,Lincolnshire,E07000136,Boston,14441,13456,6297,5937,5256,5322,5480,5427,4730,4066,4031,2940,3954,66896
E10000024,Nottinghamshire,E07000172,Broxtowe,19388,20477,8927,8349,7448,7295,8346,8284,7109,6222,6874,4968,6557,100856
E10000018,Leicestershire,E07000130,Charnwood,31649,41289,13451,12722,11477,11542,12796,12254,10831,9528,9455,6955,9030,161330
E10000007,Derbyshire,E07000034,Chesterfield,17945,16409,6886,6617,6394,6960,7962,8205,7090,6118,6100,4524,5774,89039
E10000021,Northamptonshire,E07000150,Corby,16981,13288,6863,7075,5844,5177,5549,5387,4464,3497,2909,2044,2470,64567
E10000021,Northamptonshire,E07000151,Daventry,16479,14063,6256,5936,5865,6292,7284,7269,5894,5077,5240,3687,4305,77168
E06000015,Derby,E06000015,Derby,55790,54735,21786,21437,19355,18544,18669,17509,14266,11810,11395,8266,12247,230019
E10000007,Derbyshire,E07000035,Derbyshire Dales,10659,9765,3482,3486,3886,4803,6055,6534,5823,5211,5590,4172,5219,64026
E10000019,Lincolnshire,E07000137,East Lindsey,21702,19319,7797,7169,6935,8184,10733,12083,11800,11408,12462,9283,10780,127953
E10000021,Northamptonshire,E07000152,East Northamptonshire,17927,14598,5833,5719,5906,6606,7595,7306,6009,5368,5777,4012,4870,79599
E10000007,Derbyshire,E07000036,Erewash,20005,18078,7986,7367,7055,7821,9069,8846,7272,6237,6497,4871,6139,97238
E10000024,Nottinghamshire,E07000173,Gedling,21478,17726,8155,7853,7830,7942,9079,8941,7618,6758,7049,4974,6872,100797
E10000018,Leicestershire,E07000131,Harborough,17089,14080,5521,5697,5931,6835,7727,7593,6429,5619,5897,4398,5569,81296
E10000007,Derbyshire,E07000037,High Peak,15627,14050,5989,5749,5596,6197,7643,7929,6900,5669,5664,4019,4787,80192
E10000018,Leicestershire,E07000132,Hinckley and Bosworth,20123,16824,7548,7496,7137,7683,8762,8516,7497,6769,7216,5236,6394,97078
E10000021,Northamptonshire,E07000153,Kettering,21498,17448,7929,7639,7381,7641,8138,7431,6008,5296,5519,4013,4820,89263
E06000016,Leicester,E06000016,Leicester,82512,96723,34481,33818,29531,25789,24143,21472,18771,15006,11823,7613,11247,330417
E10000019,Lincolnshire,E07000138,Lincoln,17350,27693,8587,7498,6562,6088,6359,6390,5278,4292,4126,2882,4154,89909
E10000024,Nottinghamshire,E07000174,Mansfield,21304,18138,8689,8365,7095,7220,8315,8448,7247,6084,5802,4374,5342,95119
E10000018,Leicestershire,E07000133,Melton,8918,7332,3047,2921,3094,3316,4227,4460,3696,3329,3469,2463,3038,44392
E10000024,Nottinghamshire,E07000175,Newark and Sherwood,22029,19440,8184,7846,7405,8158,9599,9662,8521,7372,7789,5710,7073,106759
E10000007,Derbyshire,E07000038,North East Derbyshire,16936,14887,6025,5868,5795,6511,7911,7928,7243,6516,6897,5497,6509,87587
E10000019,Lincolnshire,E07000139,North Kesteven,20504,18349,7589,7398,6919,7735,9242,9302,7791,6789,7630,5866,7408,102018
E10000018,Leicestershire,E07000134,North West Leicestershire,18832,16310,6854,6762,6474,7317,8255,7798,6542,5769,6086,4384,4942,87493
E10000021,Northamptonshire,E07000154,Northampton,51556,47384,22140,21479,19204,17728,17272,15820,12679,10343,10142,6907,9290,210388
E06000018,Nottingham,E06000018,Nottingham,65482,106316,33725,28356,22856,20309,20079,18771,15001,11583,10170,7086,10490,304742
E10000018,Leicestershire,E07000135,Oadby and Wigston,11007,10759,3885,3842,3807,3739,4095,4136,3698,3064,3115,2408,3907,50455
E10000024,Nottinghamshire,E07000176,Rushcliffe,21844,18996,7389,7832,8212,8256,8980,8841,7443,6560,6932,5177,7192,101810
E06000017,Rutland,E06000017,Rutland,6786,6811,2338,2311,2358,2503,3003,2946,2737,2516,2852,2137,2889,35401
E10000007,Derbyshire,E07000039,South Derbyshire,20660,17359,7431,7238,6991,7551,8668,8020,6537,5832,5688,4041,4684,90040
E10000019,Lincolnshire,E07000140,South Holland,16963,14571,6491,6206,5844,6336,7217,7439,6391,5769,6313,4574,6239,83390
E10000019,Lincolnshire,E07000141,South Kesteven,26074,21196,8644,8753,8909,9972,11208,11311,9909,8764,9244,6927,8540,123377
E10000021,Northamptonshire,E07000155,South Northamptonshire,17827,14523,6207,6109,6473,7250,8060,7856,6536,5344,5802,4095,4729,82984
