LTLA Code,MSOA Code,MSOA Name,Under 16,16-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,16+
E06000001,E02002483,Clavering,2167,1706,721,742,705,737,792,706,607,508,525,319,512,8580
E06000001,E02002484,Headland & West View,2192,1827,783,650,635,608,729,826,718,557,541,301,485,8660
E06000001,E02002485,Jesmond,1794,1489,643,554,468,477,606,625,518,391,417,281,308,6777
E06000001,E02002487,Harbour & Victoria,803,968,403,432,342,340,384,342,324,249,210,127,148,4269
E06000001,E02002488,Wooler Road,1028,972,335,338,382,441,502,498,464,401,382,268,394,5377
E06000001,E02002489,Old Town & Grange,1397,1472,583,574,479,441,534,564,453,403,348,195,309,6355
E06000001,E02002490,Foggy Furze,1231,1127,477,436,355,385,439,489,421,340,279,164,192,5104
E06000001,E02002491,Rift House & Summerhill,1316,1099,431,418,370,347,416,522,444,345,307,206,428,5333
E06000001,E02002492,Rossmere & Mill,1316,1100,506,446,408,385,487,523,510,402,407,233,346,5753
E06000001,E02002493,Seaton Carew,1114,1037,424,404,345,405,497,582,496,511,485,334,434,5954
E06000001,E02002494,Owton Manor,1871,1489,637,558,427,426,530,564,475,363,345,218,309,6341
E06000001,E02006909,"The Fens, Elwick & Hart",1858,1749,628,645,692,826,1044,1181,1048,915,934,628,839,11129
E06000002,E02002496,Middlesbrough Central,2817,5572,2004,1497,1117,884,694,520,514,371,265,168,245,13851
E06000002,E02002497,North Ormesby & Brambles,1614,1287,589,538,419,406,411,417,353,271,215,124,164,5194
E06000002,E02002498,Ayresome,2924,3420,1586,1234,920,663,572,493,433,318,203,144,217,10203
E06000002,E02002499,Berwick Hills,2247,1628,667,565,483,423,474,531,499,359,256,153,237,6275
E06000002,E02002500,Linthorpe East & Albert Park,1354,1241,577,488,446,376,403,411,361,326,252,150,239,5270
E06000002,E02002501,Park Vale,1578,1112,539,511,460,404,352,448,389,312,213,155,175,5070
E06000002,E02002502,Thorntree,2248,1824,648,655,544,561,712,754,681,555,434,257,413,8038
E06000002,E02002503,Newport & Maze Park,1810,1339,537,609,444,431,434,479,403,304,231,137,197,5545
E06000002,E02002504,Linthorpe West,2168,1911,816,762,697,661,698,680,635,474,431,275,389,8429
E06000002,E02002505,Park End,1762,1337,563,478,393,347,439,435,391,296,223,109,181,5192
E06000002,E02002506,Beechwood & James Cook,1322,1118,512,410,347,340,400,406,332,224,219,154,233,4695
E06000002,E02002507,Acklam,1190,1047,437,435,384,399,467,488,375,333,314,253,345,5277
E06000002,E02002508,Kader,933,908,346,301,318,326,348,368,416,298,291,279,400,4599
E06000002,E02002509,Easterside,1135,901,427,370,284,253,319,451,429,318,285,162,282,4481
E06000002,E02002510,Trimdon,1240,962,521,511,387,399,404,485,443,454,503,367,440,5876
E06000002,E02002512,Marton West,830,701,309,307,247,349,410,462,414,358,383,262,385,4587
E06000002,E02002513,Stainton & Hemlington,2085,1658,744,635,600,635,656,686,701,651,587,356,497,8406
E06000002,E02002514,Coulby Newham,1490,1363,524,575,513,567,711,772,689,554,525,294,454,7541
E06000002,E02006811,Nunthorpe & Marton East,2118,1627,689,765,706,755,788,781,737,702,729,552,699,9530
E06000003,E02002515,Redcar Town & Coatham,1048,1157,485,456,442,434,507,563,481,336,318,208,403,5790
E06000003,E02002516,Redcar Lakes North,1247,993,453,403,337,330,400,461,387,301,299,215,300,4879
E06000003,E02002517,Dormanstown,1060,928,348,337,297,331,384,439,381,271,283,204,292,4495
E06000003,E02002518,Redcar East,1791,1604,694,672,568,676,858,994,856,686,670,473,612,9363
E06000003,E02002519,Redcar Lakes South,1515,1160,508,477,456,458,467,526,491,483,465,375,481,6347
E06000003,E02002520,Marske,2043,1780,658,720,733,860,1054,1081,927,830,985,808,955,11391
E06000003,E02002521,Saltburn,793,721,291,338,332,440,529,542,443,435,483,376,571,5501
E06000003,E02002523,Grangetown,1822,1298,555,537,376,374,426,385,340,281,206,119,140,5037
E06000003,E02002524,Brotton,972,823,305,311,308,373,404,405,406,339,392,264,292,4622
E06000003,E02002525,Eston,1255,1201,507,457,416,468,644,694,679,530,477,404,524,7001
E06000003,E02002526,Skelton,1415,1208,462,465,482,492,587,609,557,500,503,299,315,6479
E06000003,E02002527,Loftus & Skinningrove,1090,852,350,306,280,316,355,380,310,298,277,184,208,4116
E06000003,E02002529,Bankfields,1025,956,347,325,348,377,474,488,449,326,398,269,275,5032
E06000003,E02002530,"Boosbeck, Lingdale & Easington",966,874,335,342,323,358,536,519,438,415,470,323,353,5286
E06000003,E02002532,Guisborough North,1195,1134,443,409,416,458,548,526,474,395,420,285,449,5957
E06000003,E02002533,Guisborough West,1216,926,406,413,380,409,468,499,456,511,506,364,424,5762
E06000003,E02002534,Guisborough Outer & Upleatham,695,662,235,253,263,324,370,463,451,432,557,412,517,4939
E06000003,E02006812,Ormesby,1363,1177,518,471,418,405,575,653,541,491,459,347,529,6584
E06000003,E02006910,South Bank & Teesville,2211,1847,856,753,619,615,779,869,740,632,543,383,537,9173
E06000004,E02002535,Billingham North & Wolviston,1449,1432,565,511,535,631,778,856,833,657,608,372,448,8226
E06000004,E02002536,Billingham Central,1746,1459,654,658,511,519,674,743,692,528,493,378,559,7868
E06000004,E02002537,Billingham East & Haverton Hill,1977,1531,674,634,483,463,553,695,528,379,316,235,396,6887
E06000004,E02002538,Billingham South,1111,904,409,356,354,376,371,442,403,323,328,222,252,4740
E06000004,E02002539,"Billingham West, Stillington & Longnewton",1835,1374,592,633,607,738,808,878,837,669,683,505,548,8872
E06000004,E02002540,Norton North,915,708,351,331,314,392,449,442,468,491,562,357,452,5317
E06000004,E02002541,Norton High Street,988,943,413,367,376,404,456,461,419,369,365,233,363,5169
E06000004,E02002542,Roseworth,1935,1506,623,611,470,464,550,597,514,390,395,214,290,6624
E06000004,E02002543,Hardwick & Salters Lane,2340,1660,800,729,596,513,588,621,541,396,342,176,314,7276
E06000004,E02002544,Norton South,1559,1841,917,798,669,542,574,581,547,419,352,214,332,7786
E06000004,E02002545,Rimswell & Bishopsgarth,745,734,282,311,290,289,365,394,409,367,414,264,330,4449
E06000004,E02002546,Eastbourne & Newham Grange,1646,1449,600,577,472,458,549,567,428,356,273,184,246,6159
E06000004,E02002547,Elm Tree & Grangefield,928,796,321,300,320,359,430,521,535,446,505,347,492,5372
E06000004,E02002548,"Central Stockton, Portrack & Low Hartburn",3085,3530,1448,1295,1036,874,938,849,685,537,363,222,283,12060
E06000004,E02002549,Fairfield,1195,960,426,402,393,444,564,558,541,510,562,507,602,6469
E06000004,E02002550,Hartburn,1095,938,386,437,367,383,482,503,441,377,313,243,364,5234
E06000004,E02002551,Thornaby North,1194,2356,783,564,396,354,366,350,301,296,201,134,203,6304
E06000004,E02002552,Thornaby Mandale,1632,1176,574,570,476,383,487,526,446,397,371,192,216,5814
E06000004,E02002553,Thornaby Village,1187,879,416,433,348,359,390,388,342,342,352,220,316,4785
E06000004,E02002554,Thornaby South,1017,882,350,374,282,295,346,347,368,338,346,236,309,4473
E06000004,E02002555,Eaglescliffe,1934,1455,562,641,732,780,769,729,663,605,654,458,648,8696
E06000004,E02002556,Ingleby Barwick East & Hilton,1299,1153,432,443,430,457,602,623,601,521,420,241,237,6160
E06000004,E02002557,Ingleby Barwick West,4283,2869,1038,1301,1444,1500,1503,1028,773,501,389,213,273,12832
E06000004,E02002558,Yarm,1937,1455,708,810,773,773,800,827,806,762,787,536,643,9680
E06000005,E02002559,"Faverdale, Heighington & Sadberge",1873,1373,530,556,649,789,833,795,669,544,575,400,402,8115
E06000005,E02002560,Harrowgate Hill,1193,1030,441,404,368,494,533,448,419,334,333,235,274,5313
E06000005,E02002561,Whinfield,813,774,306,290,318,338,389,468,463,434,456,246,301,4783
E06000005,E02002562,Rise Carr,1016,1021,424,432,352,378,481,455,399,309,253,185,269,4958
E06000005,E02002563,Haughton Le Skerne,942,793,352,319,330,345,387,416,413,403,389,237,408,4792
E06000005,E02002564,Cockerton & Hopetown,2014,1626,687,612,641,681,752,783,645,490,486,363,468,8234
E06000005,E02002565,Pierremont,783,905,435,377,316,357,390,403,373,250,252,155,192,4405
E06000005,E02002566,Central Darlington,1151,1391,695,592,598,481,472,483,387,250,252,146,222,5969
E06000005,E02002567,Albert Hill & Red Hall,2159,1771,830,690,613,503,545,587,525,421,439,282,414,7620
E06000005,E02002568,College & Park West,968,835,267,344,384,463,529,482,440,395,403,288,510,5340
E06000005,E02002569,Hummersknott,1399,1091,368,428,532,555,702,728,663,667,690,598,987,8009
E06000005,E02002570,Bank Top,1443,1459,591,600,526,500,553,577,497,429,420,251,438,6841
E06000005,E02002571,Firthmoor,1453,1120,545,472,454,394,460,430,361,296,270,218,283,5303
E06000005,E02002572,Park East,1381,1251,525,520,484,443,450,446,342,300,264,172,190,5387
E06000005,E02002573,Middleton & Hurworth,1736,1303,525,609,586,660,771,686,661,598,618,452,590,8059
E06000006,E02002574,Farnworth,1616,1233,535,660,619,620,674,685,558,444,530,359,417,7334
E06000006,E02002575,Upton Rocks,1693,1521,542,606,609,748,853,850,726,558,513,309,361,8196
E06000006,E02002576,Halton View,1327,1192,593,540,470,509,494,583,524,468,432,263,386,6454
E06000006,E02002577,Hough Green,1620,1366,561,534,498,463,528,524,475,377,368,250,361,6305
E06000006,E02002578,Victoria Park,1698,1412,601,647,594,541,657,613,561,427,381,251,348,7033
E06000006,E02002579,Ditton,1782,1331,660,596,499,483,540,617,559,432,397,252,356,6722
E06000006,E02002580,Widnes Riverside,1865,1685,822,718,578,498,538,568,461,337,282,191,284,6962
E06000006,E02002581,Hale Bank,1167,1066,510,453,378,468,525,571,536,461,529,354,480,6331
E06000006,E02002582,"Sandymoor, Daresbury & Preston Brook",1775,1575,585,655,630,746,892,835,676,534,501,229,252,8110
E06000006,E02002583,Halton Castlefield,1828,1428,618,623,524,530,550,483,409,399,402,236,209,6411
E06000006,E02002584,Runcorn Halton Road,1458,1305,542,528,477,503,534,563,470,420,405,256,361,6364
E06000006,E02002585,Runcorn Town & Westfield,1915,1941,903,835,753,717,838,792,671,555,496,326,354,9181
E06000006,E02002586,"Grange, Halton Brook & Hallwood Park",2285,2016,762,729,681,695,751,671,529,486,489,284,344,8437
E06000006,E02002587,Norton,1364,1179,496,474,441,490,444,415,416,481,413,191,152,5592
E06000006,E02002588,Halton Lea & Brookvale,1480,1336,511,535,504,566,468,455,447,494,481,242,265,6304
E06000006,E02002589,Beechwood & Heath,947,791,338,393,392,446,443,461,456,579,604,349,373,5625
E06000007,E02002590,Culcheth West & Croft,1079,1333,548,460,508,541,631,698,566,369,369,362,455,6840
E06000007,E02002591,Culcheth East & Hollins Green,1114,948,330,381,374,445,566,569,473,426,403,353,485,5753
E06000007,E02002592,Winwick & Burtonwood,1009,991,310,353,386,438,593,542,406,334,394,364,484,5595
E06000007,E02002593,Locking Stumps,868,760,375,361,329,337,348,379,478,398,313,242,245,4565
E06000007,E02002594,Oakwood & Gorse Covert,1015,979,437,469,384,399,415,465,409,363,311,157,127,4915
