Region,week,sgtf,n,percent,conf_low,conf_high
East Midlands,2/3/2021,Cases with confirmed S-gene,22,1.8,1.17,2.78
East Midlands,2/3/2021,Cases with confirmed SGTF,1191,98.2,97.22,98.83
East Midlands,9/3/2021,Cases with confirmed S-gene,24,1,0.64,1.47
East Midlands,9/3/2021,Cases with confirmed SGTF,2444,99,98.53,99.36
East Midlands,16/3/2021,Cases with confirmed S-gene,12,0.5,0.26,0.86
East Midlands,16/3/2021,Cases with confirmed SGTF,2482,99.5,99.14,99.74
East Midlands,23/3/2021,Cases with confirmed S-gene,4,0.2,0.06,0.5
East Midlands,23/3/2021,Cases with confirmed SGTF,2187,99.8,99.5,99.94
East Midlands,30/3/2021,Cases with confirmed S-gene,14,0.9,0.53,1.6
East Midlands,30/3/2021,Cases with confirmed SGTF,1488,99.1,98.4,99.47
East Midlands,6/4/2021,Cases with confirmed S-gene,27,3.2,2.18,4.73
East Midlands,6/4/2021,Cases with confirmed SGTF,809,96.8,95.27,97.82
East Midlands,13/4/2021,Cases with confirmed S-gene,40,5.2,3.78,7.07
East Midlands,13/4/2021,Cases with confirmed SGTF,730,94.8,92.93,96.22
East Midlands,20/4/2021,Cases with confirmed S-gene,63,12.2,9.59,15.45
East Midlands,20/4/2021,Cases with confirmed SGTF,452,87.8,84.55,90.41
East Midlands,27/4/2021,Cases with confirmed S-gene,70,12.8,10.13,15.9
East Midlands,27/4/2021,Cases with confirmed SGTF,479,87.2,84.1,89.87
East Midlands,4/5/2021,Cases with confirmed S-gene,208,21.8,19.25,24.59
East Midlands,4/5/2021,Cases with confirmed SGTF,746,78.2,75.41,80.75
East Midlands,11/5/2021,Cases with confirmed S-gene,232,34.3,30.77,38.05
East Midlands,11/5/2021,Cases with confirmed SGTF,444,65.7,61.95,69.23
East Midlands,18/5/2021,Cases with confirmed S-gene,333,57.1,52.98,61.16
East Midlands,18/5/2021,Cases with confirmed SGTF,250,42.9,38.84,47.02
East of England,2/3/2021,Cases with confirmed S-gene,18,1.8,1.08,2.83
East of England,2/3/2021,Cases with confirmed SGTF,1002,98.2,97.17,98.92
East of England,9/3/2021,Cases with confirmed S-gene,23,1.5,0.97,2.26
East of England,9/3/2021,Cases with confirmed SGTF,1523,98.5,97.74,99.03
East of England,16/3/2021,Cases with confirmed S-gene,16,1.1,0.65,1.81
East of England,16/3/2021,Cases with confirmed SGTF,1445,98.9,98.19,99.35
East of England,23/3/2021,Cases with confirmed S-gene,11,1,0.52,1.81
East of England,23/3/2021,Cases with confirmed SGTF,1107,99,98.19,99.48
East of England,30/3/2021,Cases with confirmed S-gene,13,1.7,0.97,3.02
East of England,30/3/2021,Cases with confirmed SGTF,738,98.3,96.98,99.03
East of England,6/4/2021,Cases with confirmed S-gene,21,4.4,2.83,6.79
East of England,6/4/2021,Cases with confirmed SGTF,454,95.6,93.21,97.17
East of England,13/4/2021,Cases with confirmed S-gene,23,5.3,3.5,8.03
East of England,13/4/2021,Cases with confirmed SGTF,407,94.7,91.97,96.5
East of England,20/4/2021,Cases with confirmed S-gene,32,9.5,6.68,13.27
East of England,20/4/2021,Cases with confirmed SGTF,305,90.5,86.73,93.32
East of England,27/4/2021,Cases with confirmed S-gene,88,23.1,19.02,27.72
East of England,27/4/2021,Cases with confirmed SGTF,293,76.9,72.28,80.98
East of England,4/5/2021,Cases with confirmed S-gene,200,35.2,31.31,39.32
East of England,4/5/2021,Cases with confirmed SGTF,368,64.8,60.68,68.69
East of England,11/5/2021,Cases with confirmed S-gene,370,56.7,52.76,60.49
East of England,11/5/2021,Cases with confirmed SGTF,283,43.3,39.51,47.24
East of England,18/5/2021,Cases with confirmed S-gene,486,69.8,66.24,73.19
East of England,18/5/2021,Cases with confirmed SGTF,210,30.2,26.81,33.76
London,2/3/2021,Cases with confirmed S-gene,44,3.8,2.8,5.09
London,2/3/2021,Cases with confirmed SGTF,1118,96.2,94.91,97.2
London,9/3/2021,Cases with confirmed S-gene,63,4.9,3.8,6.24
London,9/3/2021,Cases with confirmed SGTF,1228,95.1,93.76,96.2
London,16/3/2021,Cases with confirmed S-gene,42,4,2.91,5.38
London,16/3/2021,Cases with confirmed SGTF,1016,96,94.62,97.09
London,23/3/2021,Cases with confirmed S-gene,28,3.9,2.65,5.64
London,23/3/2021,Cases with confirmed SGTF,692,96.1,94.36,97.35
London,30/3/2021,Cases with confirmed S-gene,36,9.3,6.7,12.79
London,30/3/2021,Cases with confirmed SGTF,350,90.7,87.21,93.3
London,6/4/2021,Cases with confirmed S-gene,81,18.2,14.83,22.22
London,6/4/2021,Cases with confirmed SGTF,363,81.8,77.78,85.17
London,13/4/2021,Cases with confirmed S-gene,86,21.3,17.46,25.67
London,13/4/2021,Cases with confirmed SGTF,318,78.7,74.33,82.54
London,20/4/2021,Cases with confirmed S-gene,96,33.3,27.98,39.14
London,20/4/2021,Cases with confirmed SGTF,192,66.7,60.86,72.02
London,27/4/2021,Cases with confirmed S-gene,129,48.5,42.37,54.67
London,27/4/2021,Cases with confirmed SGTF,137,51.5,45.33,57.63
London,4/5/2021,Cases with confirmed S-gene,221,53.4,48.45,58.25
London,4/5/2021,Cases with confirmed SGTF,193,46.6,41.75,51.55
London,11/5/2021,Cases with confirmed S-gene,283,57.5,53.01,61.91
London,11/5/2021,Cases with confirmed SGTF,209,42.5,38.09,46.99
London,18/5/2021,Cases with confirmed S-gene,373,72,67.89,75.79
London,18/5/2021,Cases with confirmed SGTF,145,28,24.21,32.11
North East,2/3/2021,Cases with confirmed S-gene,5,0.3,0.12,0.82
North East,2/3/2021,Cases with confirmed SGTF,1510,99.7,99.18,99.88
North East,9/3/2021,Cases with confirmed S-gene,4,0.3,0.08,0.71
North East,9/3/2021,Cases with confirmed SGTF,1531,99.7,99.29,99.92
North East,16/3/2021,Cases with confirmed S-gene,3,0.2,0.05,0.66
North East,16/3/2021,Cases with confirmed SGTF,1443,99.8,99.34,99.95
North East,23/3/2021,Cases with confirmed SGTF,931,100,99.49,100
North East,30/3/2021,Cases with confirmed S-gene,3,0.4,0.1,1.27
North East,30/3/2021,Cases with confirmed SGTF,747,99.6,98.73,99.9
North East,6/4/2021,Cases with confirmed S-gene,1,0.2,0.01,1.47
North East,6/4/2021,Cases with confirmed SGTF,438,99.8,98.53,99.99
North East,13/4/2021,Cases with confirmed S-gene,4,1.8,0.57,4.75
North East,13/4/2021,Cases with confirmed SGTF,223,98.2,95.25,99.43
North East,20/4/2021,Cases with confirmed S-gene,5,2.1,0.78,5.15
North East,20/4/2021,Cases with confirmed SGTF,231,97.9,94.85,99.22
North East,27/4/2021,Cases with confirmed S-gene,11,8.6,4.58,15.2
North East,27/4/2021,Cases with confirmed SGTF,117,91.4,84.8,95.42
North East,4/5/2021,Cases with confirmed S-gene,7,9.3,4.15,18.85
North East,4/5/2021,Cases with confirmed SGTF,68,90.7,81.15,95.85
North East,11/5/2021,Cases with confirmed S-gene,5,17.9,6.77,37.58
North East,11/5/2021,Cases with confirmed SGTF,23,82.1,62.42,93.23
North East,18/5/2021,Cases with confirmed S-gene,8,47.1,23.86,71.47
North East,18/5/2021,Cases with confirmed SGTF,9,52.9,28.53,76.14
North West,2/3/2021,Cases with confirmed S-gene,39,1.1,0.77,1.48
North West,2/3/2021,Cases with confirmed SGTF,3606,98.9,98.52,99.23
North West,9/3/2021,Cases with confirmed S-gene,32,0.8,0.58,1.18
North West,9/3/2021,Cases with confirmed SGTF,3837,99.2,98.82,99.42
North West,16/3/2021,Cases with confirmed S-gene,22,0.6,0.4,0.95
North West,16/3/2021,Cases with confirmed SGTF,3558,99.4,99.05,99.6
North West,23/3/2021,Cases with confirmed S-gene,30,1,0.67,1.4
North West,23/3/2021,Cases with confirmed SGTF,3054,99,98.6,99.33
North West,30/3/2021,Cases with confirmed S-gene,30,1.6,1.07,2.24
North West,30/3/2021,Cases with confirmed SGTF,1904,98.4,97.76,98.93
North West,6/4/2021,Cases with confirmed S-gene,27,1.8,1.25,2.72
North West,6/4/2021,Cases with confirmed SGTF,1434,98.2,97.28,98.75
