LTLA Code,D*.0-50,D*.50-55,D*.55-60,D*.60-65,D*.65-70,D*.70-75,D*.75-80,D*.80-150
E06000001,10710,5894,6595,5941,5051,4948,3180,4557
E06000002,19166,7706,8573,8126,6856,6150,4154,5930
E06000003,17334,8862,9949,8992,8022,8408,6195,8017
E06000004,23826,12557,12977,12088,10364,9978,6719,8934
E06000005,12004,7057,7270,6637,5743,5832,4098,5837
E06000006,16939,8185,8515,7765,6941,6861,4183,5121
E06000007,27858,14687,14981,12116,10304,10439,8020,10286
E06000008,18784,8630,8215,7361,6215,5863,3906,5193
E06000009,21882,9375,10032,8705,7210,7514,5630,7540
E06000010,35888,14754,15490,13773,11492,10929,6902,9751
E06000011,34628,23513,25529,23681,22338,24836,17593,23508
E06000012,17458,9862,10832,9566,8366,8557,6093,8767
E06000013,21788,11412,12125,10810,9676,9953,7155,9348
E06000014,20572,12332,12163,10609,9401,10215,7322,10741
E06000015,45800,14894,14554,12318,10592,10627,7854,11751
E06000016,55472,18069,16924,15568,12983,10681,6969,10305
E06000017,3510,2734,2696,2553,2393,2762,2096,2844
E06000018,40062,14892,14679,12303,10095,9234,6548,9854
E06000019,18802,12203,13428,12712,11812,12429,9365,12767
E06000020,23864,12069,11576,9806,8800,8776,6391,7565
E06000021,36539,15123,15049,13563,11775,11572,8559,11042
E06000022,19325,11752,11793,10238,9114,9627,7268,10680
E06000023,64976,23409,22849,19071,16251,15463,11040,16082
E06000024,28563,14350,14833,12830,12139,13587,10595,14469
E06000025,36313,19022,18852,15375,13135,13821,11191,15135
E06000026,34551,15950,16117,14076,12282,12729,9568,12866
E06000027,17336,9057,9810,9096,8642,9484,7248,9995
E06000030,23582,15079,14719,12352,10104,9521,6805,9475
E06000031,23770,11540,10921,9433,8010,7740,5492,7917
E06000032,26155,10792,10416,8571,6921,5987,4560,6920
E06000033,26093,11061,11182,9556,8307,8836,6601,9326
E06000034,22741,10002,9592,7696,6320,6574,4257,5682
E06000035,32468,16600,16898,14534,12215,12472,8672,10723
E06000036,14270,8134,7806,6512,5279,4800,3422,4653
E06000037,16019,11718,11177,9515,8205,8424,6211,7962
E06000038,19116,9126,8440,6838,5439,5067,3841,5593
E06000039,21832,7761,6775,5891,4642,3565,2306,3628
E06000040,22680,10577,9986,8282,6830,7013,5383,8003
E06000041,18167,11590,11246,9391,7561,7881,5994,8396
E06000042,30525,16740,15467,13373,11597,10813,7022,8607
E06000043,34473,18535,16757,12719,10273,9820,6900,10186
E06000044,34752,12405,12124,9976,7987,7860,5765,8079
E06000045,36560,12040,12261,10722,9072,8633,6426,8662
E06000046,19467,9214,10285,9931,9859,10827,8448,10317
E06000047,59963,35036,37227,33591,29984,30001,21365,27232
E06000049,42206,27024,28123,24345,21504,23691,17716,23845
E06000050,40583,23418,24691,21561,18906,19977,14644,19799
E06000051,34024,21709,23252,21166,19648,20734,16290,21103
E06000052,57839,36576,39546,37680,35600,38967,28733,35825
E06000053,574,142,161,124,120,143,126,162
E06000054,49651,34569,35829,31330,27714,29237,22023,29831
E06000055,20161,11358,10919,9262,7887,8078,5669,8140
E06000056,35764,19176,19633,16411,13801,14255,10368,12937
E06000057,34052,20680,23816,23379,21742,22422,15557,19773
E06000058,63356,23944,24282,21671,19810,21679,16554,25270
E06000059,49177,24687,27624,27162,25923,29523,22475,31373
E06000060,58796,36907,36444,30722,25740,26183,19959,28425
E07000008,17578,6508,6047,4904,4303,3933,3001,4543
E07000009,10616,6125,5918,5007,4590,4898,3553,4875
E07000010,10711,6661,6982,6237,5933,6153,4634,6070
E07000011,21811,12390,12414,10706,9342,10051,7420,9058
E07000012,18262,11052,10691,8923,7858,8350,6332,8693
E07000026,13818,7203,7265,6853,6184,6592,4502,6164
E07000027,7592,4553,4757,4174,3706,3960,2914,3600
E07000028,11684,6956,7583,7175,6188,6307,4362,6172
E07000029,7620,4596,5287,4795,4161,4249,2969,3793
E07000030,4455,3888,4390,4081,3693,3849,2730,3658
E07000031,9664,7162,8011,7603,6852,7722,5792,7872
E07000032,20018,9225,9212,8078,7294,7968,5798,6808
E07000033,11594,5819,5644,4967,4213,4249,3411,3825
E07000034,17333,6987,7343,6570,5809,5867,4382,5656
E07000035,7224,5469,5956,5373,4930,5427,4089,5175
E07000036,14090,8024,7907,6685,5881,6265,4733,6080
E07000037,11999,6736,7170,6318,5343,5465,3922,4679
E07000038,14512,7168,7343,6796,6227,6701,5379,6425
E07000039,17604,7916,7345,6092,5540,5513,3937,4611
E07000040,13774,9559,10158,9773,9926,11557,9183,13214
E07000041,16377,7133,6895,5935,5284,5509,4124,6210
E07000042,8147,5687,5971,5290,4999,5275,3946,5157
E07000043,9338,6609,7252,6779,6096,6745,5215,6827
E07000044,7515,5818,6685,6559,6132,6697,4908,6307
E07000045,13473,9116,10156,9351,8985,9634,7348,9603
E07000046,6354,4616,5104,5137,4847,5307,3892,4743
E07000047,5057,3819,4471,4179,3961,4294,3260,4182
E07000061,15274,6159,6520,5912,5422,6228,4698,7389
E07000062,10478,5888,6150,5272,4818,4857,3363,4308
E07000063,11229,6786,7014,6372,6112,6723,5124,7435
E07000064,8551,5950,6879,6722,6527,8054,6124,8575
E07000065,15458,10762,11677,10707,9819,11072,8626,11394
E07000066,26955,11809,11488,9913,7991,8531,5994,8324
E07000067,18989,10726,10167,8744,7937,8567,6134,7661
E07000068,8155,5128,5334,4330,3620,3855,2893,4705
E07000069,11408,5854,6011,5457,5065,6248,4755,5904
E07000070,21741,11877,11355,9728,8453,9363,6878,9533
E07000071,25056,11840,11251,9404,8260,9382,6801,8836
E07000072,13775,8798,8980,7535,6381,6744,5032,7152
E07000073,11383,5264,5314,4527,3745,3280,2345,3611
E07000074,6578,4863,4973,4603,4085,4561,3377,4151
E07000075,11067,6199,6089,5300,4607,5405,4062,5468
E07000076,16470,9254,10275,10171,9903,11721,9027,11822
E07000077,9347,6567,6409,5490,4654,4864,3628,4845
E07000078,12833,7275,7647,6418,5463,5675,4394,6894
E07000079,9929,6357,6986,6249,5782,6131,4747,6413
E07000080,9399,5514,6108,5488,5061,5318,3943,4864
E07000081,20488,8307,8324,7079,5681,5566,4362,5818
E07000082,15440,8762,8836,8106,7137,7550,5476,7373
E07000083,12177,6308,6689,5773,5357,5577,4287,5731
E07000084,23276,12651,12235,9916,8176,8708,6198,7931
E07000085,15931,8945,9347,8377,7032,7536,5763,7926
E07000086,17454,8835,8853,7743,6753,6893,5030,7251
E07000087,16145,7878,8493,7577,6384,7222,5643,8046
E07000088,10623,5276,5575,5069,4376,4696,3382,4635
E07000089,12166,7032,6930,5566,4583,5124,4056,5475
E07000090,20223,8244,8847,8310,7230,7684,5925,8526
E07000091,20455,11771,13260,12234,11781,13192,10208,15211
E07000092,12562,6389,6271,4794,3911,4077,2975,3703
E07000093,13804,8927,9115,7785,6598,7350,5540,7335
E07000094,15820,8355,8531,7363,6321,6755,5218,7662
E07000095,10605,6345,6123,5110,4120,4370,3328,4935
E07000096,17019,9954,10043,8535,7021,6805,4916,7413
E07000098,17846,6723,6879,5647,4604,4787,3609,5532
E07000099,14389,8829,8894,7306,6283,6574,4905,7444
E07000102,12212,6504,6428,5120,4221,4344,3202,4772
E07000103,16102,5974,5281,4206,3350,3089,2339,3476
E07000105,14698,8976,8510,7142,6367,7064,5305,6541
E07000106,16620,9091,9480,8644,8266,9153,6736,9124
E07000107,13725,6674,6352,5200,4104,4076,2884,4327
E07000108,13946,7221,8005,7441,7044,7318,5478,6872
E07000109,12661,6585,6541,5412,4646,4724,3506,5000
E07000110,19048,11190,10879,9379,8161,8938,6508,8763
E07000111,11508,8089,8047,6953,6147,6691,5083,7201
