LTLA Code,D*.0-45,D*.45-50,D*.50-55,D*.55-60,D*.60-65,D*.65-70,D*.70-75,D*.75-80,D*.80-150
E06000001,8456,2907,5950,6634,5959,5059,4952,3179,4551
E06000002,16445,5399,7788,8617,8153,6866,6151,4158,5923
E06000003,13969,5108,8973,10016,9020,8039,8425,6202,8017
E06000004,18763,6739,12631,13046,12113,10375,9983,6718,8908
E06000005,9399,3621,7103,7298,6657,5751,5838,4107,5837
E06000006,13042,4928,8224,8558,7784,6948,6897,4188,5119
E06000007,20710,8911,14711,15000,12121,10301,10446,8026,10266
E06000008,14640,4921,8685,8261,7375,6226,5867,3908,5197
E06000009,16881,5678,9418,10067,8722,7217,7529,5629,7549
E06000010,27213,10062,14852,15565,13794,11502,10928,6903,9739
E06000011,25409,13005,23623,25589,23718,22358,24856,17602,23493
E06000012,13548,4756,9907,10854,9573,8370,8562,6100,8755
E06000013,15835,7620,11474,12146,10822,9690,9953,7151,9343
E06000014,16737,7177,12407,12204,10624,9423,10231,7346,10725
E06000015,35852,12873,14971,14627,12338,10612,10646,7862,11757
E06000016,42956,14461,18229,17031,15612,13015,10694,6982,10316
E06000017,2683,1321,2736,2703,2552,2394,2761,2098,2841
E06000018,31782,10606,14992,14735,12329,10111,9249,6562,9864
E06000019,14385,4964,12224,13442,12724,11815,12427,9376,12761
E06000020,18447,7466,12112,11596,9818,8807,8782,6395,7575
E06000021,27230,10883,15225,15110,13591,11783,11590,8568,11038
E06000022,15428,5316,11823,11871,10277,9125,9637,7276,10663
E06000023,52564,14345,23558,22942,19116,16263,15473,11052,16062
E06000024,19008,10348,14403,14849,12853,12141,13593,10594,14447
E06000025,27208,10190,19082,18910,15394,13150,13820,11191,15110
E06000026,28235,11310,16102,16192,14128,12305,12746,9568,12864
E06000027,12642,6204,9112,9860,9125,8654,9495,7260,9986
E06000030,18544,10197,15244,14797,12406,10116,9528,6817,9477
E06000031,17340,7606,11606,10951,9447,8023,7735,5491,7913
E06000032,20381,6870,10863,10447,8608,6938,6006,4570,6928
E06000033,18847,8896,11129,11242,9579,8328,8852,6607,9318
E06000034,16687,7212,10064,9627,7706,6322,6578,4255,5679
E06000035,25381,9973,16666,16931,14556,12227,12481,8680,10732
E06000036,11871,5397,8175,7831,6531,5287,4804,3423,4652
E06000037,11908,5366,11749,11194,9519,8207,8419,6218,7950
E06000038,14833,5606,9218,8493,6856,5465,5073,3845,5590
E06000039,16813,6676,7834,6825,5912,4654,3570,2312,3628
E06000040,16124,9058,10641,10019,8307,6868,7024,5397,8013
E06000041,13686,7032,11626,11276,9391,7571,7884,6002,8380
E06000042,23552,10322,16830,15528,13403,11613,10830,7025,8604
E06000043,27305,10404,18632,16816,12746,10290,9830,6919,10185
E06000044,27942,8638,12462,12154,9991,7995,7866,5769,8067
E06000045,29979,8921,12141,12343,10760,9087,8639,6427,8655
E06000046,14765,5205,9245,10312,9941,9867,10828,8452,10291
E06000047,46627,18029,35278,37394,33670,30021,30006,21377,27183
E06000049,31740,14725,27116,28197,24388,21529,23712,17724,23828
E06000050,30451,12847,23485,24739,21588,18953,19989,14661,19785
E06000051,25654,12072,21760,23304,21205,19664,20737,16291,21075
E06000052,44086,19868,36763,39702,37760,35655,38986,28736,35793
E06000053,476,103,142,161,124,120,142,126,162
E06000054,38118,14738,34741,35922,31389,27748,29257,22038,29793
E06000055,15460,6336,11387,10939,9266,7894,8083,5676,8142
E06000056,25816,12881,19238,19663,16423,13820,14272,10376,12935
E06000057,27508,11799,21207,24122,23488,21786,22440,15563,19757
E06000058,44721,19734,24040,24359,21713,19830,21696,16591,25243
E06000059,33641,17157,24760,27685,27207,25950,29559,22478,31370
E06000060,44443,20884,37032,36527,30760,25760,26191,19955,28409
E07000008,14926,3663,6527,6064,4912,4312,3945,3003,4548
E07000009,7553,4246,6146,5941,5021,4600,4902,3556,4868
E07000010,8090,3269,6681,7003,6249,5935,6155,4633,6074
E07000011,16859,7137,12462,12451,10719,9369,10065,7431,9069
E07000012,13692,6097,11065,10702,8933,7857,8357,6329,8680
E07000026,10367,3861,7242,7281,6863,6190,6596,4498,6151
E07000027,6073,2055,4642,4792,4184,3713,3968,2915,3595
E07000028,9003,3810,7042,7633,7194,6194,6316,4360,6171
E07000029,5775,2248,4654,5301,4811,4166,4250,2970,3789
E07000030,3352,1824,3918,4417,4092,3699,3846,2732,3649
