LTLA Code,D1.0-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E06000001,8773,4202,6027,6672,5979,5066,4955,3182,4538,3094,806,1045,1137,948,701,3784,3032,4402
E06000002,17436,6398,7873,8669,8219,6887,6184,4161,5919,6764,1581,2140,2453,2441,3360,4888,3803,5418
E06000003,15318,6469,9086,10102,9064,8056,8429,6197,7994,5671,1476,2023,2265,2132,2104,6832,5927,7679
E06000004,20258,9474,12752,13136,12166,10405,9996,6719,8887,8093,2133,2683,2957,2685,3646,7530,6446,8590
E06000005,10408,5523,7164,7342,6667,5758,5852,4111,5824,3581,1034,1272,1317,1193,1964,5056,3913,5602
E06000006,14034,6563,8281,8591,7808,6980,6919,4188,5119,4142,1316,1582,1823,2025,4838,6415,4006,4849
E06000007,22593,11472,14813,15067,12152,10326,10465,8024,10241,6873,2200,2677,3117,2794,4311,9802,7638,9694
E06000008,15613,5939,8758,8292,7405,6248,5874,3904,5184,4471,1312,1704,1851,2185,3784,5335,3638,4860
E06000009,18187,6738,9486,10126,8745,7234,7538,5633,7536,5936,1717,2329,2849,2971,4972,6987,5337,7191
E06000010,28870,12158,14979,15657,13826,11525,10937,6903,9706,9962,2505,3031,3447,3233,5489,10042,6545,9177
E06000011,28306,16967,23798,25696,23765,22409,24898,17590,23409,10853,3583,4515,5381,6038,8324,22427,16821,22522
E06000012,14660,7446,9994,10922,9591,8391,8587,6098,8731,4247,1269,1530,1830,1639,1254,7597,5703,8233
E06000013,16958,8511,11530,12169,10859,9710,9975,7153,9335,6173,1846,2957,3555,3507,4802,8627,6850,8942
E06000014,18402,9415,12432,12247,10630,9438,10255,7345,10709,7929,1773,2404,2666,2161,3272,9543,7033,10366
E06000015,40821,13482,15081,14683,12369,10659,10673,7861,11734,8688,2412,2648,2827,2492,8598,9979,7406,10779
E06000016,46027,16153,18491,17157,15710,13081,10729,6999,10309,13695,3521,4353,4587,4916,7298,9119,6161,9004
E06000017,2974,2028,2760,2710,2557,2401,2769,2095,2835,843,247,357,382,452,1128,2610,2003,2546
E06000018,33321,12243,15094,14804,12378,10136,9280,6576,9843,10552,2183,2436,2511,2127,3808,8143,5871,8730
E06000019,15446,7143,12321,13518,12756,11828,12423,9385,12735,5845,1609,2393,2711,2562,5972,10858,8961,12239
E06000020,20475,8842,12170,11632,9826,8820,8791,6395,7552,5830,1792,2202,2422,2107,4802,7727,5919,7018
E06000021,29441,12405,15353,15195,13629,11830,11621,8573,11020,9633,2814,3598,3805,3649,6696,10511,8126,10397
E06000022,16525,7532,11871,11905,10293,9135,9646,7275,10632,6521,1797,2117,2405,2380,6084,9142,7028,10005
E06000023,54914,19969,23689,23042,19172,16294,15495,11051,16017,20302,4037,4634,5114,4723,9480,13965,10482,15255
E06000024,20100,11908,14467,14906,12879,12163,13613,10591,14402,6585,2018,2581,2946,2992,5607,11760,10126,13675
E06000025,29138,13706,19168,18971,15420,13172,13837,11197,15094,10304,2602,3181,3438,2949,7498,12790,10741,14442
E06000026,30053,12926,16196,16252,14172,12350,12769,9573,12841,12195,2683,3341,3526,3332,3474,10484,8884,12008
E06000027,13694,6801,9156,9907,9146,8678,9553,7301,9972,5287,1522,1999,2135,1935,1983,7850,6792,9110
E06000030,19771,12466,15313,14854,12413,10128,9548,6818,9461,7215,2396,2848,3229,2927,6243,8738,6495,8871
E06000031,18851,9501,11702,11018,9485,8031,7751,5505,7893,6224,1930,2351,2885,2835,3521,7068,5134,7295
E06000032,22767,8920,10978,10551,8648,6976,6015,4573,6930,5986,1852,2180,2309,2133,4284,5364,4167,6319
E06000033,20265,10017,11219,11309,9622,8351,8861,6611,9310,5935,2036,2396,2551,2878,4074,7547,6012,8474
E06000034,17647,8554,10177,9688,7726,6340,6575,4258,5672,4343,1559,1815,1976,2132,3280,5595,3956,5245
E06000035,28433,13418,16887,17034,14591,12282,12508,8681,10719,8337,2446,2912,3254,3215,4896,9970,7615,9594
E06000036,13594,7254,8230,7859,6550,5304,4834,3438,4648,3303,980,1137,1199,998,1507,4137,3134,4229
E06000037,13880,8359,11840,11233,9532,8214,8427,6226,7939,3441,1139,1405,1441,1465,2425,7619,5973,7609
E06000038,16474,8103,9315,8536,6863,5484,5081,3848,5574,5058,1332,1462,1623,1441,2248,4439,3549,5118
E06000039,18487,7871,7935,6903,5951,4677,3584,2314,3621,4471,1416,1358,1344,1315,2694,3014,2098,3340
E06000040,17211,9836,10705,10073,8331,6893,7045,5416,7996,3359,1069,1173,1403,1374,3335,6307,5146,7326
E06000041,15705,10960,11705,11307,9412,7587,7897,5993,8364,4261,1300,1411,1680,1612,2383,7181,5774,7973
E06000042,28738,15640,16983,15619,13456,11646,10844,7026,8595,7684,2752,3159,3324,3255,5260,9967,6697,8180
E06000043,29919,16447,18781,16919,12780,10331,9850,6925,10165,11400,2989,3685,3453,2913,5823,8671,6365,9114
E06000044,29821,10099,12542,12201,10015,8005,7892,5772,8061,8834,2068,2631,2738,2397,4500,6795,5373,7583
E06000045,31203,10742,12235,12414,10807,9114,8634,6428,8633,11440,2181,2244,2347,2072,2332,7188,5856,8028
E06000046,15434,5891,9319,10372,9976,9899,10836,8454,10271,5474,1779,2423,2666,2616,5255,9996,8011,9173
E06000047,52927,26203,35604,37584,33740,30063,30015,21361,27121,16677,4813,6509,7145,6581,9578,26999,20538,26076
E06000049,35345,19659,27302,28327,24451,21578,23757,17731,23776,13680,4487,5823,6535,6106,11893,22318,17089,22790
E06000050,32865,17361,23665,24865,21670,19006,20058,14661,19751,10647,3221,4271,4984,5154,6268,18403,14050,18714
E06000051,29422,15450,21883,23399,21266,19717,20766,16308,21029,10690,3282,4162,4734,4591,10724,19464,15554,20080
E06000052,50810,27126,37051,39919,37880,35753,39039,28758,35674,18375,5826,7596,8882,9045,17723,35584,27516,34225
E06000053,484,104,144,158,128,120,141,125,164,99,29,47,44,47,94,138,123,162
E06000054,41383,21536,34939,36026,31450,27799,29289,22060,29735,13941,4144,5278,6096,5873,12230,26997,21217,28650
E06000055,17262,9249,11446,10985,9283,7894,8084,5672,8120,5369,1580,1799,1867,1650,4077,6686,5204,7708
E06000056,30292,16192,19362,19741,16458,13845,14283,10380,12910,7450,2129,2762,3068,2827,4461,11988,9699,12165
E06000057,30856,15975,21544,24305,23604,21830,22463,15553,19710,10673,3247,4305,5022,4484,7734,20010,14985,18916
E06000058,46702,20528,24158,24457,21786,19885,21762,16611,25213,13940,4144,5157,6133,7102,12888,20003,15766,23761
E06000059,36473,18468,24895,27816,27298,26018,29624,22479,31288,10922,3361,4366,5239,5354,9132,25479,21443,29818
E06000060,49691,29026,37220,36672,30818,25813,26227,19979,28370,14957,4558,5611,6372,5923,13828,21833,18812,26214
E07000008,16226,5825,6587,6089,4923,4322,3948,3007,4537,7565,1144,1305,1417,1512,1749,3632,2805,4212
E07000009,10011,5504,6178,5970,5028,4610,4920,3560,4857,3098,977,1119,1271,1460,3486,4679,3428,4646
E07000010,8652,4711,6726,7042,6260,5948,6160,4642,6060,2970,840,1278,1711,2045,2727,5587,4360,5548
E07000011,19164,10366,12534,12498,10750,9383,10077,7434,9071,5834,1776,2375,2620,2836,5240,9472,7054,8602
E07000012,15395,9720,11119,10737,8954,7865,8371,6335,8662,6361,1905,2278,2431,2689,3750,7931,6080,8211
E07000026,11166,5062,7281,7320,6877,6187,6601,4498,6136,3442,1093,1660,1716,1484,2055,6026,4305,5641
E07000027,6717,3441,4675,4809,4194,3721,3963,2915,3580,2761,815,1106,1259,1162,2464,3776,2826,3456
E07000028,9654,5127,7082,7660,7219,6203,6323,4364,6161,4761,1322,1953,2177,2030,1887,5285,4102,5911
E07000029,6112,3055,4684,5322,4829,4170,4256,2971,3775,2157,623,934,1116,1065,2536,3797,2790,3591
E07000030,3867,2673,3935,4426,4108,3698,3846,2731,3635,1258,398,540,615,592,1296,3480,2661,3418
E07000031,8878,5321,7299,8078,7630,6876,7731,5786,7842,3174,1209,1632,1962,1840,3339,7216,5590,7612
E07000032,14461,7631,9302,9261,8111,7299,7982,5793,6780,3757,1266,1539,1525,1236,3961,7457,5545,6542
E07000033,9168,4335,5891,5677,4985,4224,4250,3409,3804,3007,869,1207,1229,1028,1726,3910,3232,3601
E07000034,13703,5939,7089,7410,6606,5833,5884,4393,5632,4023,1160,1473,1601,1455,2498,5451,4055,5104
E07000035,5808,3766,5520,5978,5388,4936,5433,4086,5145,1663,637,885,960,813,1945,5065,3962,4952
E07000036,12596,6261,8131,7963,6726,5912,6280,4733,6066,3217,917,1226,1232,1164,3377,5892,4578,5853
E07000037,10281,5176,6826,7237,6351,5370,5478,3925,4664,3143,991,1372,1559,1338,2887,5231,3808,4307
E07000038,11706,5671,7254,7394,6825,6247,6711,5370,6408,3296,976,1267,1434,1220,2045,6052,5030,6013
E07000039,15236,6237,7973,7374,6139,5559,5519,3947,4607,3340,1002,1280,1212,1099,3309,5174,3805,4379
E07000040,11413,6681,9625,10210,9809,9943,11589,9186,13180,4604,1463,1987,2123,2279,4539,10485,8879,12419
E07000041,14658,5558,7206,6925,5959,5300,5517,4131,6181,6295,1385,1732,1828,1669,2193,5025,3982,5910
E07000042,7047,4107,5758,5996,5314,5011,5289,3956,5141,2658,852,1098,1199,1052,1009,4492,3758,4893
E07000043,7538,4160,6700,7308,6822,6112,6759,5221,6803,3499,1108,1383,1501,1361,1411,5676,5001,6539
E07000044,6590,4104,5901,6762,6595,6155,6724,4908,6275,2478,744,1024,1135,1202,1725,5425,4664,5986
E07000045,12640,6699,9235,10241,9397,9022,9666,7371,9579,4678,1381,1766,1977,1619,1831,7030,7001,8923
E07000046,5315,2924,4673,5142,5156,4862,5315,3883,4720,2208,631,865,915,852,718,3473,3664,4535
E07000047,4454,2706,3876,4518,4204,3964,4311,3265,4165,2080,711,933,1232,1373,2177,4034,3167,4056
E07000061,12278,5167,6260,6589,5959,5460,6253,4706,7401,5392,1960,2591,3204,3524,3877,5666,4477,6880
E07000062,8215,4017,5973,6212,5308,4837,4864,3375,4296,3534,1022,1261,1397,1201,1442,3269,2654,3779
E07000063,9303,5292,6837,7064,6391,6135,6745,5129,7420,3179,1031,1482,1970,2311,3111,6111,4878,6891
E07000064,6820,3756,5987,6905,6765,6563,8058,6127,8563,2944,1048,1411,1729,2076,2109,6750,5743,8066
E07000065,12490,7655,10870,11768,10762,9850,11113,8645,11368,5151,1708,2598,2986,3044,4997,9730,8073,10635
E07000066,22343,10021,12003,11590,9972,8036,8592,6011,8301,5266,1702,2222,2427,2769,3737,7061,5597,7616
