LTLA Code,D1.0-40,D1.40-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-40,D2.40-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E06000001,8373,3817,4682,6114,6720,6019,5084,4954,3179,4511,3847,1285,1559,2358,2861,3028,3508,4768,3122,4430
E06000002,15299,6560,6930,8049,8840,8327,6931,6214,4181,5902,8026,2240,2582,4351,5265,5329,5962,5963,4043,5689
E06000003,13057,5887,7005,9202,10185,9136,8075,8433,6177,7962,6502,1977,2439,3795,4723,4942,6162,8213,6088,7785
E06000004,19260,9616,10565,12915,13262,12229,10445,10008,6714,8856,9652,3136,3456,5274,6586,7586,9477,9782,6606,8718
E06000005,9183,5244,5909,7228,7389,6708,5767,5848,4102,5792,3604,1275,1522,2255,2866,3438,5271,5657,4016,5638
E06000006,13476,5872,7045,8365,8661,7848,6999,6918,4184,5101,5989,2156,2626,3880,4239,5382,6518,6725,4098,4960
E06000007,21313,10582,12290,14938,15141,12220,10349,10464,8010,10175,9490,3461,4299,6045,7009,8006,9667,10194,7835,9866
E06000008,18591,7359,8030,9080,8475,7484,6296,5892,3902,5176,6002,2020,2547,3555,3701,4801,5609,5617,3747,4946
E06000009,15797,6012,7334,9622,10216,8788,7271,7545,5626,7516,8163,2474,3516,5838,6020,6925,6809,7317,5479,7307
E06000010,27154,11817,13562,15262,15808,13901,11558,10947,6893,9653,13485,3717,4811,7173,8107,9032,10334,10645,6721,9377
E06000011,25886,15252,19273,24075,25852,23863,22463,24897,17580,23291,13049,4368,6129,10451,13372,16547,20247,24409,17268,22769
E06000012,13080,6257,8029,10102,10999,9618,8416,8590,6092,8703,5778,1665,2297,3051,3834,4873,7501,8359,5929,8469
E06000013,15782,7637,9085,11664,12249,10919,9725,9983,7140,9283,7659,2418,3346,6126,7157,8004,8983,9749,7015,9083
