LTLA Code,D1.0-30,D1.30-35,D1.35-40,D1.40-45,D1.45-50,D1.50-55,D1.55-60,D1.60-65,D1.65-70,D1.70-75,D1.75-80,D1.80-150,D2.0-30,D2.30-35,D2.35-40,D2.40-45,D2.45-50,D2.50-55,D2.55-60,D2.60-65,D2.65-70,D2.70-75,D2.75-80,D2.80-150
E06000001,3433,2316,3249,3988,4728,6126,6733,6040,5097,4952,3172,4506,1910,1259,1357,1493,1815,3159,3965,4107,4497,4844,3132,4436
E06000002,5856,4626,6400,6679,7012,8097,8914,8359,6938,6218,4183,5891,3856,2394,2452,2570,2931,5609,6494,6262,6403,6025,4080,5730
E06000003,5181,3736,4936,6014,7083,9243,10224,9184,8086,8431,6171,7953,3247,1974,1949,2255,2798,4567,5899,6493,7148,8256,6095,7789
E06000004,6943,5575,8685,9817,10663,12951,13306,12286,10450,10011,6714,8836,4432,2939,3342,3505,3904,7088,8452,9579,9894,9852,6625,8735
E06000005,3549,2611,4267,5417,5994,7253,7424,6737,5784,5850,4100,5787,2061,1251,1359,1672,2101,4513,4226,4587,5508,5746,4048,5683
E06000006,4770,4111,5866,6311,7177,8399,8687,7867,6999,6914,4178,5093,2793,1769,2171,2446,3003,5107,5128,6599,6643,6754,4103,4966
E06000007,8677,6991,9645,11109,12418,14980,15175,12307,10352,10462,8006,10164,4450,2799,3263,3842,4848,9242,8903,10041,9900,10242,7861,9891
E06000008,9586,5244,6928,7655,8227,9175,8561,7528,6308,5900,3903,5173,3187,1889,2169,2454,3084,4636,4753,6401,5828,5685,3766,4976
E06000009,7165,4918,5625,6141,7418,9667,10282,8811,7277,7546,5630,7498,3862,2628,2522,2715,4001,7077,7473,7929,6924,7349,5495,7313
E06000010,11077,8010,11077,12011,13666,15380,15973,13973,11587,10945,6892,9640,6711,4018,4173,4252,5776,9697,10681,10844,10732,10716,6754,9416
E06000011,10220,8397,12566,15534,19460,24132,25946,24050,22493,24907,17578,23274,6495,3743,4232,4946,6864,13585,17495,20530,21356,24544,17325,22860
