week,phec.name,ltla.code,ltla.name,Number classifiable cases,Number S gene cases,Percent S gene cases,Percent_tests TaqPath
02/05/2021,North West,E08000001,Bolton,404,350,86.6,53.4
02/05/2021,North West,E06000008,Blackburn with Darwen,128,110,85.9,59.5
02/05/2021,North West,E08000014,Sefton,116,105,90.5,69.3
02/05/2021,East of England,E06000055,Bedford,84,71,84.5,33.5
02/05/2021,East Midlands,E06000018,Nottingham,73,52,71.2,68.7
02/05/2021,East Midlands,E06000016,Leicester,91,33,36.3,62.0
02/05/2021,North West,E08000010,Wigan,60,29,48.3,43.4
02/05/2021,East Midlands,E07000155,South Northamptonshire,32,25,78.1,40.2
02/05/2021,North West,E08000005,Rochdale,83,23,27.7,61.6
02/05/2021,London,E09000017,Hillingdon,26,23,88.5,28.5
02/05/2021,London,E09000018,Hounslow,27,21,77.8,18.0
02/05/2021,East of England,E06000056,Central Bedfordshire,36,19,52.8,46.3
02/05/2021,North West,E08000006,Salford,60,15,25,40.3
02/05/2021,London,E09000005,Brent,27,15,55.6,20.8
02/05/2021,North West,E07000118,Chorley,21,13,61.9,66.8
02/05/2021,West Midlands,E08000031,Wolverhampton,30,13,43.3,57.3
02/05/2021,North West,E08000003,Manchester,155,13,8.4,50.3
02/05/2021,North West,E08000012,Liverpool,38,12,31.6,69.6
02/05/2021,North West,E08000002,Bury,23,12,52.2,57.4
02/05/2021,London,E09000007,Camden,16,12,75,17.3
02/05/2021,West Midlands,E08000025,Birmingham,83,11,13.3,48.4
02/05/2021,East Midlands,E07000152,East Northamptonshire,15,11,73.3,42.5
02/05/2021,East of England,E07000070,Chelmsford,12,11,91.7,30.4
02/05/2021,North West,E07000117,Burnley,20,10,50,61.5
02/05/2021,West Midlands,E08000030,Walsall,39,10,25.6,54.6
02/05/2021,Yorkshire and Humber,E08000034,Kirklees,52,10,19.2,50.3
02/05/2021,London,E09000008,Croydon,13,10,76.9,21.3
02/05/2021,West Midlands,E08000026,Coventry,63,9,14.3,61.0
02/05/2021,North West,E07000122,Pendle,23,9,39.1,58.4
02/05/2021,East of England,E06000032,Luton,41,9,22,40.8
02/05/2021,South East,E07000106,Canterbury,10,9,90,16.1
02/05/2021,East Midlands,E07000173,Gedling,24,8,33.3,66.8
02/05/2021,North West,E07000123,Preston,17,8,47.1,56.7
02/05/2021,East of England,E07000241,Welwyn Hatfield,12,8,66.7,54.9
02/05/2021,London,E09000010,Enfield,19,8,42.1,31.7
02/05/2021,London,E09000006,Bromley,12,8,66.7,27.0
02/05/2021,London,E09000011,Greenwich,15,8,53.3,26.6
02/05/2021,North West,E08000008,Tameside,39,7,17.9,63.2
02/05/2021,West Midlands,E06000019,"Herefordshire, County of",21,7,33.3,59.7
02/05/2021,West Midlands,E08000028,Sandwell,44,7,15.9,54.5
02/05/2021,London,E09000030,Tower Hamlets,22,7,31.8,42.4
02/05/2021,East of England,E07000103,Watford,29,7,24.1,35.9
02/05/2021,London,E09000025,Newham,13,7,53.8,34.2
02/05/2021,London,E09000004,Bexley,15,7,46.7,21.6
