category,areaCode,gender,age,population
AGE_ONLY,E06000001,ALL,00_04,5147
AGE_ONLY,E06000001,ALL,00_59,69434
AGE_ONLY,E06000001,ALL,05_09,5774
AGE_ONLY,E06000001,ALL,10_14,5982
AGE_ONLY,E06000001,ALL,15_19,5126
AGE_ONLY,E06000001,ALL,20_24,5162
AGE_ONLY,E06000001,ALL,25_29,6122
AGE_ONLY,E06000001,ALL,30_34,6163
AGE_ONLY,E06000001,ALL,35_39,5671
AGE_ONLY,E06000001,ALL,40_44,5055
AGE_ONLY,E06000001,ALL,45_49,5635
AGE_ONLY,E06000001,ALL,50_54,6594
AGE_ONLY,E06000001,ALL,55_59,7003
AGE_ONLY,E06000001,ALL,60+,24402
AGE_ONLY,E06000001,ALL,60_64,6031
AGE_ONLY,E06000001,ALL,65_69,5172
AGE_ONLY,E06000001,ALL,70_74,5051
AGE_ONLY,E06000001,ALL,75_79,3154
AGE_ONLY,E06000001,ALL,80_84,2582
AGE_ONLY,E06000001,ALL,85_89,1564
AGE_ONLY,E06000001,ALL,90+,848
AGE_ONLY,E06000002,ALL,00_04,9431
AGE_ONLY,E06000002,ALL,00_59,109866
AGE_ONLY,E06000002,ALL,05_09,9840
AGE_ONLY,E06000002,ALL,10_14,9031
AGE_ONLY,E06000002,ALL,15_19,8267
AGE_ONLY,E06000002,ALL,20_24,10741
AGE_ONLY,E06000002,ALL,25_29,11124
AGE_ONLY,E06000002,ALL,30_34,10063
AGE_ONLY,E06000002,ALL,35_39,8639
AGE_ONLY,E06000002,ALL,40_44,7294
AGE_ONLY,E06000002,ALL,45_49,7920
AGE_ONLY,E06000002,ALL,50_54,8380
AGE_ONLY,E06000002,ALL,55_59,9136
AGE_ONLY,E06000002,ALL,60+,31419
AGE_ONLY,E06000002,ALL,60_64,8205
AGE_ONLY,E06000002,ALL,65_69,6772
AGE_ONLY,E06000002,ALL,70_74,6107
AGE_ONLY,E06000002,ALL,75_79,4246
AGE_ONLY,E06000002,ALL,80_84,3274
