Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Modelled percentage of the adult population vaccinated for SARS-CoV-2 by age, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 December 2020 to 24 October 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age 16 -24,,,,,,,,,,Age 25 - 34,,,,,,,,,,Age 35 - 49,,,,,,,,,,Age 50 - 59,,,,,,,,,,Age 60 - 64,,,,,,,,,,Age 65 - 69,,,,,,,,,,Age 70 - 74,,,,,,,,,,Age 75 - 79,,,,,,,,,,Age 80+,,,,,,,,,
Weekly period,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample,Modelled % of adults who have received 1 or more vaccination dose,95% Lower credible interval,95% Upper credible interval,Number of adults who have reported receiving 1 or more vaccination dose,Number of adults in sample,Modelled % of adults who have received 2 or more vaccination doses,95% Lower credible interval,95% Upper credible interval,Number of adults who have received 2 or more vaccination doses ,Number of adults in sample
14 December 2020 to 20 December 2020,0.1,0.1,0.3,4,"5,863",-,-,-,-,-,0.4,0.3,0.7,16,"10,064",-,-,-,-,-,0.4,0.3,0.6,59,"20,176",-,-,-,-,-,0.6,0.4,0.9,76,"16,691",-,-,-,-,-,0.4,0.3,0.7,26,"9,275",-,-,-,-,-,0.2,0.1,0.3,14,"9,462",-,-,-,-,-,0.1,0.1,0.2,14,"9,856",-,-,-,-,-,0.1,0.1,0.2,5,"5,686",-,-,-,-,-,8.4,6.0,11.4,412,"4,340",-,-,-,-,-
21 December 2020 to 27 December 2020,0.4,0.2,0.7,10,"3,141",-,-,-,-,-,1.1,0.7,1.6,29,"5,136",-,-,-,-,-,0.9,0.6,1.3,83,"11,259",-,-,-,-,-,1.2,0.8,1.8,76,"8,912",-,-,-,-,-,1.2,0.8,1.8,46,"4,722",-,-,-,-,-,0.5,0.3,0.9,25,"4,651",-,-,-,-,-,0.3,0.2,0.5,17,"4,908",-,-,-,-,-,0.5,0.3,0.8,18,"2,986",-,-,-,-,-,22.5,16.9,28.9,565,"2,214",-,-,-,-,-
28 December 2020 to 03 January 2021,0.5,0.3,0.8,15,"4,929",-,-,-,-,-,1.8,1.2,2.6,96,"8,103",-,-,-,-,-,1.5,1.0,2.1,213,"17,089",-,-,-,-,-,1.9,1.3,2.7,205,"14,302",-,-,-,-,-,1.4,1.0,2.1,97,"7,665",-,-,-,-,-,0.6,0.4,0.9,38,"7,710",-,-,-,-,-,0.3,0.2,0.5,31,"7,886",-,-,-,-,-,0.9,0.6,1.4,49,"4,736",-,-,-,-,-,28.3,22.0,35.6,"1,123","3,588",-,-,-,-,-
04 January 2021 to 10 January 2021,1.0,0.7,1.6,45,"6,252",-,-,-,-,-,3.0,2.1,4.3,172,"9,177",-,-,-,-,-,2.5,1.8,3.6,419,"19,461",-,-,-,-,-,3.3,2.4,4.6,395,"15,657",-,-,-,-,-,2.3,1.6,3.2,152,"8,141",-,-,-,-,-,1.0,0.7,1.5,81,"8,187",-,-,-,-,-,0.8,0.5,1.2,78,"8,468",-,-,-,-,-,3.1,2.2,4.4,184,"4,964",-,-,-,-,-,34.1,27.0,41.8,"1,447","3,838",-,-,-,-,-
11 January 2021 to 17 January 2021,2.1,1.4,3.1,89,"5,869",-,-,-,-,-,5.6,4.0,7.9,340,"9,092",-,-,-,-,-,4.4,3.1,6.1,697,"18,605",-,-,-,-,-,6.0,4.4,8.2,675,"14,677",-,-,-,-,-,4.4,3.1,6.2,296,"7,803",-,-,-,-,-,2.0,1.4,2.9,149,"7,793",-,-,-,-,-,2.7,1.9,3.8,259,"8,056",-,-,-,-,-,10.9,8.0,14.8,597,"4,707",-,-,-,-,-,55.5,47.2,63.3,"2,043","3,414",-,-,-,-,-
18 January 2021 to 24 January 2021,4.0,2.8,5.6,155,"5,692",-,-,-,-,-,8.3,6.0,11.3,485,"9,077",-,-,-,-,-,7.0,5.1,9.7,"1,106","18,339",-,-,-,-,-,9.2,6.7,12.4,"1,051","14,497",-,-,-,-,-,7.0,4.9,9.6,448,"7,524",-,-,-,-,-,3.6,2.5,5.1,276,"7,629",-,-,-,-,-,8.5,6.2,11.6,825,"7,998",-,-,-,-,-,31.8,25.2,39.5,"1,693","4,693",-,-,-,-,-,80.3,74.3,85.0,"2,811","3,412",-,-,-,-,-
25 January 2021 to 31 January 2021,5.4,3.8,7.6,218,"5,912",-,-,-,-,-,11.8,8.6,15.9,762,"9,402",-,-,-,-,-,9.7,7.0,13.1,"1,570","18,867",-,-,-,-,-,12.3,9.1,16.3,"1,488","14,855",-,-,-,-,-,10.4,7.5,13.9,699,"7,756",-,-,-,-,-,8.1,5.9,11.1,626,"7,849",-,-,-,-,-,25.8,20.0,32.6,"2,319","8,098",-,-,-,-,-,67.5,59.7,74.2,"3,519","4,912",-,-,-,-,-,95.4,93.5,96.7,"3,426","3,592",-,-,-,-,-
01 February 2021 to 07 February 2021,6.1,4.3,8.5,263,"6,325",-,-,-,-,-,13.6,10.0,18.1,856,"9,306",-,-,-,-,-,11.7,8.6,15.7,"1,984","19,069",-,-,-,-,-,15.9,11.9,20.8,"2,037","15,286",-,-,-,-,-,14.6,10.7,19.3,"1,064","7,881",-,-,-,-,-,17.6,13.2,23.0,"1,396","7,879",-,-,-,-,-,61.2,53.2,68.7,"5,069","8,042",-,-,-,-,-,92.2,89.3,94.4,"4,398","4,704",-,-,-,-,-,98.7,98.1,99.1,"3,557","3,636",-,-,-,-,-
08 February 2021 to 14 February 2021,7.6,5.4,10.5,346,"6,331",-,-,-,-,-,15.6,11.5,20.7,"1,042","9,567",-,-,-,-,-,13.7,10.1,18.2,"2,415","19,454",-,-,-,-,-,19.4,14.8,25.2,"2,580","15,570",-,-,-,-,-,20.6,15.4,26.5,"1,566","8,300",-,-,-,-,-,44.2,36.1,52.4,"3,400","8,149",-,-,-,-,-,92.7,89.9,94.7,"7,713","8,300",-,-,-,-,-,98.3,97.5,98.8,"4,858","4,961",-,-,-,-,-,99.3,98.9,99.5,"3,614","3,657",-,-,-,-,-
