LAD20CD,LAD20NM,STP20CD,STP20NM
E06000001,Hartlepool,E54000050,Cumbria and North East
E06000002,Middlesbrough,E54000050,Cumbria and North East
E06000003,Redcar and Cleveland,E54000050,Cumbria and North East
E06000004,Stockton-on-Tees,E54000050,Cumbria and North East
E06000005,Darlington,E54000050,Cumbria and North East
E06000006,Halton,E54000008,Cheshire and Merseyside
E06000007,Warrington,E54000008,Cheshire and Merseyside
E06000008,Blackburn with Darwen,E54000048,Healthier Lancashire and South Cumbria
E06000009,Blackpool,E54000048,Healthier Lancashire and South Cumbria
E06000010,"Kingston upon Hull, City of",E54000051,"Humber, Coast and Vale"
E06000011,East Riding of Yorkshire,E54000051,"Humber, Coast and Vale"
E06000012,North East Lincolnshire,E54000051,"Humber, Coast and Vale"
E06000013,North Lincolnshire,E54000051,"Humber, Coast and Vale"
E06000014,York,E54000051,"Humber, Coast and Vale"
E06000015,Derby,E54000012,Joined Up Care Derbyshire
E06000016,Leicester,E54000015,"Leicester, Leicestershire and Rutland"
E06000017,Rutland,E54000015,"Leicester, Leicestershire and Rutland"
E06000018,Nottingham,E54000014,Nottingham and Nottinghamshire Health and Care
E06000019,"Herefordshire, County of",E54000019,Herefordshire and Worcestershire
E06000020,Telford and Wrekin,E54000011,Shropshire and Telford and Wrekin
E06000021,Stoke-on-Trent,E54000010,Staffordshire and Stoke on Trent
E06000022,Bath and North East Somerset,E54000040,"Bath and North East Somerset, Swindon and Wiltshire"
E06000023,"Bristol, City of",E54000039,"Bristol, North Somerset and South Gloucestershire"
E06000024,North Somerset,E54000039,"Bristol, North Somerset and South Gloucestershire"
E06000025,South Gloucestershire,E54000039,"Bristol, North Somerset and South Gloucestershire"
E06000026,Plymouth,E54000037,Devon
E06000027,Torbay,E54000037,Devon
E06000030,Swindon,E54000040,"Bath and North East Somerset, Swindon and Wiltshire"
E06000031,Peterborough,E54000021,Cambridgeshire and Peterborough
E06000032,Luton,E54000024,"Bedfordshire, Luton and Milton Keynes"
E06000033,Southend-on-Sea,E54000026,Mid and South Essex
E06000034,Thurrock,E54000026,Mid and South Essex
E06000035,Medway,E54000032,Kent and Medway
E06000036,Bracknell Forest,E54000034,Frimley Health and Care ICS
E06000037,West Berkshire,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West"
E06000038,Reading,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West"
E06000039,Slough,E54000034,Frimley Health and Care ICS
