Region,week,n_Total classifiable,n_Cases with confirmed SGTF,n_Cases with confirmed S-gene,percent_SGTF
East Midlands,02/09/2020,777,23,754,3
East Midlands,09/09/2020,606,2,604,0.3
East Midlands,16/09/2020,812,9,803,1.1
East Midlands,23/09/2020,1227,20,1207,1.6
East Midlands,30/09/2020,2214,25,2189,1.1
East Midlands,07/10/2020,2960,50,2910,1.7
East Midlands,14/10/2020,3134,55,3079,1.8
East Midlands,21/10/2020,4493,101,4392,2.2
East Midlands,28/10/2020,4401,101,4300,2.3
East Midlands,04/11/2020,4965,99,4866,2
East Midlands,11/11/2020,7617,171,7446,2.2
East Midlands,18/11/2020,6221,204,6017,3.3
East Midlands,25/11/2020,4908,271,4637,5.5
East Midlands,02/12/2020,5241,525,4716,10
East Midlands,09/12/2020,5968,1112,4856,18.6
East Midlands,16/12/2020,1884,652,1232,34.6
East Midlands,23/12/2020,3254,1911,1343,58.7
East Midlands,30/12/2020,4732,3305,1427,69.8
East Midlands,06/01/2021,6568,5090,1478,77.5
East Midlands,13/01/2021,5785,4844,941,83.7
East Midlands,20/01/2021,4930,4346,584,88.2
East Midlands,27/01/2021,4069,3793,276,93.2
East Midlands,03/02/2021,2735,2614,121,95.6
East Midlands,10/02/2021,2441,2378,63,97.4
East Midlands,17/02/2021,2186,2142,44,98
East Midlands,24/02/2021,1508,1480,28,98.1
East Midlands,03/03/2021,980,965,15,98.5
East of England,02/09/2020,496,29,467,5.8
East of England,09/09/2020,420,31,389,7.4
East of England,16/09/2020,455,20,435,4.4
East of England,23/09/2020,910,64,846,7
East of England,30/09/2020,1461,85,1376,5.8
East of England,07/10/2020,1724,97,1627,5.6
East of England,14/10/2020,2660,114,2546,4.3
East of England,21/10/2020,2960,125,2835,4.2
East of England,28/10/2020,3533,158,3375,4.5
East of England,04/11/2020,3360,314,3046,9.3
East of England,11/11/2020,3786,533,3253,14.1
East of England,18/11/2020,3061,713,2348,23.3
East of England,25/11/2020,3275,1159,2116,35.4
East of England,02/12/2020,5181,2946,2235,56.9
East of England,09/12/2020,9782,7139,2643,73
East of England,16/12/2020,11434,9550,1884,83.5
East of England,23/12/2020,14998,13167,1831,87.8
East of England,30/12/2020,14439,13115,1324,90.8
East of England,06/01/2021,12449,11538,911,92.7
East of England,13/01/2021,9236,8797,439,95.2
East of England,20/01/2021,6390,6157,233,96.4
East of England,27/01/2021,4671,4518,153,96.7
East of England,03/02/2021,2246,2210,36,98.4
East of England,10/02/2021,1930,1897,33,98.3
East of England,17/02/2021,1608,1584,24,98.5
East of England,24/02/2021,1314,1300,14,98.9
East of England,03/03/2021,802,789,13,98.4
London,02/09/2020,1220,40,1180,3.3
London,09/09/2020,937,34,903,3.6
London,16/09/2020,1212,48,1164,4
London,23/09/2020,2614,134,2480,5.1
London,30/09/2020,4270,215,4055,5
London,07/10/2020,4263,250,4013,5.9
London,14/10/2020,7252,374,6878,5.2
London,21/10/2020,9536,554,8982,5.8
London,28/10/2020,9227,614,8613,6.7
London,04/11/2020,8933,941,7992,10.5
London,11/11/2020,9502,1503,7999,15.8
London,18/11/2020,7426,1789,5637,24.1
London,25/11/2020,7972,3265,4707,41
London,02/12/2020,10909,6117,4792,56.1
London,09/12/2020,25339,18644,6695,73.6
London,16/12/2020,24516,20117,4399,82.1
London,23/12/2020,27925,24773,3152,88.7
London,30/12/2020,35211,32579,2632,92.5
London,06/01/2021,21085,19963,1122,94.7
London,13/01/2021,15087,14444,643,95.7
London,20/01/2021,9414,9155,259,97.2
London,27/01/2021,7757,7576,181,97.7
London,03/02/2021,3361,3273,88,97.4
London,10/02/2021,2046,2016,30,98.5
London,17/02/2021,1666,1621,45,97.3
London,24/02/2021,1192,1157,35,97.1
London,03/03/2021,919,888,31,96.6
North East,02/09/2020,,,106,
North East,09/09/2020,258,6,252,2.3
North East,16/09/2020,2210,15,2195,0.7
North East,23/09/2020,3634,22,3612,0.6
North East,30/09/2020,6825,96,6729,1.4
North East,07/10/2020,6269,102,6167,1.6
North East,14/10/2020,4676,65,4611,1.4
North East,21/10/2020,6156,101,6055,1.6
North East,28/10/2020,6507,150,6357,2.3
North East,04/11/2020,8273,146,8127,1.8
North East,11/11/2020,7591,101,7490,1.3
North East,18/11/2020,4630,121,4509,2.6
North East,25/11/2020,3209,192,3017,6
North East,02/12/2020,2801,346,2455,12.4
North East,09/12/2020,3272,739,2533,22.6
North East,16/12/2020,3808,1497,2311,39.3
North East,23/12/2020,6305,3244,3061,51.5
North East,30/12/2020,9548,5951,3597,62.3
North East,06/01/2021,7039,5267,1772,74.8
North East,13/01/2021,6033,4994,1039,82.8
North East,20/01/2021,5244,4675,569,89.1
North East,27/01/2021,4693,4407,286,93.9
North East,03/02/2021,3858,3704,154,96
North East,10/02/2021,3357,3254,103,96.9
North East,17/02/2021,2649,2600,49,98.2
North East,24/02/2021,1954,1944,10,99.5
North East,03/03/2021,1328,1323,5,99.6
North West,02/09/2020,2725,29,2696,1.1
North West,09/09/2020,2996,27,2969,0.9
North West,16/09/2020,5711,54,5657,0.9
North West,23/09/2020,10698,132,10566,1.2
North West,30/09/2020,19701,395,19306,2
North West,07/10/2020,19219,326,18893,1.7
North West,14/10/2020,24325,326,23999,1.3
North West,21/10/2020,25684,341,25343,1.3
North West,28/10/2020,23399,293,23106,1.3
North West,04/11/2020,19409,282,19127,1.5
North West,11/11/2020,15570,326,15244,2.1
North West,18/11/2020,9834,255,9579,2.6
North West,25/11/2020,7201,229,6972,3.2
North West,02/12/2020,6428,448,5980,7
North West,09/12/2020,7971,1296,6675,16.3
North West,16/12/2020,9407,2940,6467,31.3
North West,23/12/2020,13677,7019,6658,51.3
North West,30/12/2020,29396,18695,10701,63.6
North West,06/01/2021,33174,24129,9045,72.7
North West,13/01/2021,25788,21157,4631,82
North West,20/01/2021,19095,16769,2326,87.8
