Year,Week,w/e,0 to 4,5 to 14,15 to 24,25 to 44,45 to 54,55 to 64,65 to 74,75 to 84,85+
2020,27,2020-07-05,0.62,0.05,0.25,0.54,0.56,1.37,2.22,5.58,12.93
2020,28,2020-07-12,0.24,0.02,0.25,0.51,0.66,1.16,2.04,4.48,11.27
2020,29,2020-07-19,0.35,0.07,0.27,0.34,0.58,0.84,1.59,3.56,9.52
2020,30,2020-07-26,0.31,0.02,0.09,0.38,0.6,0.82,1.22,2.5,5.82
2020,31,2020-08-02,0.18,0.04,0.18,0.28,0.51,0.94,1.2,2.61,6
2020,32,2020-08-09,0.29,0,0.29,0.26,0.34,0.82,1.3,2.05,5.04
2020,33,2020-08-16,0.21,0.12,0.32,0.32,0.49,0.59,0.96,2.15,4.84
2020,34,2020-08-23,0.25,0.05,0.22,0.28,0.46,0.79,0.86,1.83,2.74
2020,35,2020-08-30,0.07,0.02,0.19,0.32,0.35,0.81,0.89,1.58,2.59
2020,36,2020-09-06,0.22,0.04,0.31,0.37,0.41,0.78,1.3,2.94,4.69
2020,37,2020-09-13,0.44,0.17,0.41,0.88,1.14,1.48,1.92,4.17,8.76
2020,38,2020-09-20,0.25,0.07,0.67,1.29,1.58,2.35,3.37,7.4,11.44
2020,39,2020-09-27,0.39,0.13,0.98,1.5,2.08,3.87,5.11,10.08,18.05
2020,40,2020-10-04,0.28,0.13,0.8,1.58,2.73,4.42,6.63,12.53,19.48
2020,41,2020-10-11,0.73,0.31,1.74,2.08,3.19,6.59,10.13,22.22,35.95
2020,42,2020-10-18,0.68,0.41,1.48,2.53,5.2,8.95,13.45,31.35,55.74
2020,43,2020-10-25,1.23,0.39,1.69,3.06,6.39,10.73,19.21,44.88,85.48
2020,44,2020-11-01,1.48,0.41,2.04,4.47,8.54,15.09,25.1,57.37,101.9
2020,45,2020-11-08,1.42,0.36,2.23,4.17,8.65,15.44,25.83,64.43,120.33
2020,46,2020-11-15,1.67,0.54,2.48,5.67,11.35,18.63,31.92,75.52,142.51
2020,47,2020-11-22,0.97,0.51,2.16,4.97,10.33,16.96,29.4,69.13,140.18
2020,48,2020-11-29,1.36,0.61,2.29,4.47,8.49,15.49,23.75,58.39,125.38
2020,49,2020-12-06,1.14,0.86,1.96,4.29,8.17,13.24,22.25,60.04,132.01
2020,50,2020-12-13,1.21,0.62,2.07,4.26,9,14.84,24.66,64.74,158.65
2020,51,2020-12-20,2.2,0.85,2.79,5.93,11.38,18.25,32.52,81.6,195.35
2020,52,2020-12-27,2.87,0.94,3,7.84,16.5,24.74,36.53,79.81,178.88
2020,53,2021-01-03,3.76,0.98,3.4,11.21,22.35,36.08,51.06,107.74,231.96
2021,1,2021-01-10,3.96,1.17,4.26,13.55,27.53,47.54,64.03,140.12,297.23
2021,2,2021-01-17,3.53,1,4.86,12.88,26.42,47.64,67.74,140.28,304.9
2021,3,2021-01-24,3.89,1.11,4.16,12.33,25.97,45.67,60.07,131.45,283.27
2021,4,2021-01-31,2.54,0.74,3.38,9.28,19.92,35.66,45.95,98.13,210.16
2021,5,2021-02-07,2.68,0.77,2.92,7.22,13.6,26.17,36.18,75.46,157.09
2021,6,2021-02-14,1.91,0.55,2.46,5.91,11.52,20.64,28.27,52.72,122.62
2021,7,2021-02-21,1.8,0.59,2.12,4.97,9.1,16.91,22.16,40.75,94.83
2021,8,2021-02-28,1.62,0.41,1.56,4,6.54,13.05,15.19,25.36,59.35
2021,9,2021-03-07,0.96,0.26,1.35,3.01,4.55,9.51,10.08,19.85,46.51
2021,10,2021-03-14,0.95,0.5,1.22,2.74,3.63,6.72,6.57,15.11,34.45
2021,11,2021-03-21,0.39,0.27,1.01,2.16,3.14,4.8,5.42,10.68,26.53
2021,12,2021-03-28,0.67,0.33,0.87,1.64,2.65,3.73,3.77,8.18,18.42
2021,13,2021-04-04,0.54,0.16,0.6,1.53,2.2,2.77,2.95,6.19,11.78
2021,14,2021-04-11,0.18,0.18,0.54,1.35,2.12,2.56,1.94,6.33,10.57
2021,15,2021-04-18,0.22,0.11,0.48,1.01,1.3,1.93,1.84,5.27,8.79
2021,16,2021-04-25,0.25,0.31,0.33,0.93,0.99,1.46,2.05,3.37,8.6
2021,17,2021-05-02,0.33,0.16,0.53,0.74,0.87,1.29,1.59,2.7,5.38
2021,18,2021-05-09,0.4,0.14,0.37,0.86,0.71,1.03,0.9,2.52,4.58
2021,19,2021-05-16,0.39,0.16,0.22,0.62,0.76,0.85,1.33,1.44,3.52
2021,20,2021-05-23,0.33,0.17,0.39,0.92,0.83,0.67,0.77,1.61,3.74
2021,21,2021-05-30,0.33,0.26,0.55,1.03,0.85,0.81,0.93,1.8,3.84
2021,22,2021-06-06,0.73,0.36,0.63,1.3,1.06,1.25,0.94,2.5,3.16
2021,23,2021-06-13,0.82,0.41,1.28,1.98,1.28,1.68,1.42,2.36,5.19
2021,24,2021-06-20,0.71,0.46,1.64,2.42,1.86,1.96,1.95,3.16,5.15
2021,25,2021-06-27,1.36,0.39,2.28,2.41,1.84,1.78,1.8,2.95,5.21
2021,26,2021-07-04,1.22,0.57,2.52,3.23,2.57,2.2,2.57,5.15,7.74
